"","gateway_node_3614","gateway_node_5232","gateway_node_3066","gateway_node_3791","gateway_node_3182","gateway_node_2446","gateway_node_4779","gateway_node_4001","gateway_node_1857","gateway_node_4409","gateway_node_1222","gateway_node_4694","gateway_node_3890","gateway_node_1104","gateway_node_827","gateway_node_4396","gateway_node_468","gateway_node_527","gateway_node_1125","gateway_node_3631"
"gateway_node_3614",0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
"gateway_node_5232",1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
"gateway_node_3066",1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
"gateway_node_3791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3182",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_4779",1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
"gateway_node_4001",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"gateway_node_1857",1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
"gateway_node_4409",1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
"gateway_node_1222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_4694",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3890",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"gateway_node_1104",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"gateway_node_827",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"gateway_node_4396",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"gateway_node_468",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_527",0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"gateway_node_1125",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"gateway_node_3631",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
