"","gateway_node_1847","gateway_node_198","gateway_node_823","gateway_node_1326","gateway_node_1381","gateway_node_2496","gateway_node_2491","gateway_node_5021","gateway_node_457","gateway_node_2314","gateway_node_3014","gateway_node_3993","gateway_node_4964","gateway_node_1141","gateway_node_3994","gateway_node_4967","gateway_node_1988","gateway_node_630","gateway_node_1119","gateway_node_1374","gateway_node_1150","gateway_node_4380","gateway_node_596","gateway_node_1845","gateway_node_3475","gateway_node_1233","gateway_node_2133","gateway_node_2841","gateway_node_2909","gateway_node_1085","gateway_node_1891","gateway_node_1443","gateway_node_4595","gateway_node_4763","gateway_node_1004","gateway_node_4241","gateway_node_4623","gateway_node_1011","gateway_node_1430","gateway_node_2983","gateway_node_465","gateway_node_3745","gateway_node_439","gateway_node_1560","gateway_node_4418","gateway_node_1225","gateway_node_3297","gateway_node_259","gateway_node_637","gateway_node_3003","gateway_node_998","gateway_node_334","gateway_node_3196"
"gateway_node_1847",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
"gateway_node_198",0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"gateway_node_823",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1326",1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
"gateway_node_1381",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
"gateway_node_2496",1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2491",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"gateway_node_5021",0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"gateway_node_457",0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"gateway_node_2314",1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1
