"","gateway_node_3614","gateway_node_1151","gateway_node_5232","gateway_node_3791","gateway_node_2446","gateway_node_4779","gateway_node_2449","gateway_node_4497","gateway_node_4001","gateway_node_1857","gateway_node_4409","gateway_node_1670","gateway_node_4694","gateway_node_3890","gateway_node_5063","gateway_node_921","gateway_node_4396","gateway_node_1125","gateway_node_2384","gateway_node_2003","gateway_node_3631"
"gateway_node_3614",0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"gateway_node_1151",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"gateway_node_5232",1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1
"gateway_node_3791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_4779",1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1
"gateway_node_2449",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
"gateway_node_4497",1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
"gateway_node_4001",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"gateway_node_1857",1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"gateway_node_4409",0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1
"gateway_node_1670",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"gateway_node_4694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3890",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_5063",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
"gateway_node_921",0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"gateway_node_4396",0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
"gateway_node_1125",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"gateway_node_2384",0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
"gateway_node_2003",0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1
"gateway_node_3631",1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
