"","gateway_node_2377","gateway_node_1151","gateway_node_3791","gateway_node_5232","gateway_node_4836","gateway_node_3182","gateway_node_2446","gateway_node_4779","gateway_node_2449","gateway_node_4497","gateway_node_3930","gateway_node_4001","gateway_node_1857","gateway_node_3614","gateway_node_4694","gateway_node_3890","gateway_node_5063","gateway_node_827","gateway_node_4396","gateway_node_1125","gateway_node_2384","gateway_node_247"
"gateway_node_2377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1151",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"gateway_node_3791",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"gateway_node_5232",0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0
"gateway_node_4836",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"gateway_node_3182",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"gateway_node_2446",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_4779",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
"gateway_node_2449",0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0
"gateway_node_4497",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
"gateway_node_3930",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"gateway_node_4001",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"gateway_node_1857",0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
"gateway_node_3614",0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1
"gateway_node_4694",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"gateway_node_3890",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"gateway_node_5063",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_827",0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"gateway_node_4396",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"gateway_node_1125",0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1
"gateway_node_2384",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_247",0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
