"","gateway_node_243","gateway_node_652","gateway_node_963","gateway_node_974","gateway_node_2448","gateway_node_2648","gateway_node_2681","gateway_node_4134","gateway_node_4540","gateway_node_4551","gateway_node_4917","gateway_node_4373","gateway_node_1200","gateway_node_1878","gateway_node_55","gateway_node_62","gateway_node_1742","gateway_node_1747","gateway_node_1751","gateway_node_1895","gateway_node_3906","gateway_node_4764"
"gateway_node_243",0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0
"gateway_node_652",0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
"gateway_node_963",1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
"gateway_node_974",0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"gateway_node_2448",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2648",1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1
"gateway_node_2681",1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"gateway_node_4134",0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
"gateway_node_4540",1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0
"gateway_node_4551",0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"gateway_node_4917",0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0
"gateway_node_4373",1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
"gateway_node_1200",0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
"gateway_node_1878",0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
"gateway_node_55",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"gateway_node_62",0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1
"gateway_node_1742",0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
"gateway_node_1747",1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
"gateway_node_1751",1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
"gateway_node_1895",1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
"gateway_node_3906",1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"gateway_node_4764",0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
