"","gateway_node_1380","gateway_node_1381","gateway_node_2496","gateway_node_2490","gateway_node_2314","gateway_node_1988","gateway_node_3992","gateway_node_4965","gateway_node_630","gateway_node_1139","gateway_node_4739","gateway_node_1119","gateway_node_1150","gateway_node_3014","gateway_node_4030","gateway_node_3475","gateway_node_1233","gateway_node_1234","gateway_node_2909","gateway_node_1443","gateway_node_1448","gateway_node_4595","gateway_node_4763","gateway_node_4764","gateway_node_3247","gateway_node_4839","gateway_node_4429","gateway_node_465","gateway_node_3079","gateway_node_4421","gateway_node_3003","gateway_node_998","gateway_node_973","gateway_node_3777","gateway_node_3778"
"gateway_node_1380",0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0
"gateway_node_1381",1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0
"gateway_node_2496",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"gateway_node_2490",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2314",1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
"gateway_node_1988",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3992",1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"gateway_node_4965",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_630",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1139",1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
