"","mangal_node_0090","mangal_node_0255","mangal_node_0232","mangal_node_0266","mangal_node_0234","mangal_node_0235","mangal_node_0236","mangal_node_0267","mangal_node_0268","mangal_node_0239","mangal_node_0343","mangal_node_0312","mangal_node_0301","mangal_node_0263","mangal_node_0264","mangal_node_0329","mangal_node_0243","mangal_node_0284","mangal_node_0251","mangal_node_0273"
"mangal_node_0090",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"mangal_node_0255",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"mangal_node_0232",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
"mangal_node_0266",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
"mangal_node_0234",1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"mangal_node_0235",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"mangal_node_0236",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mangal_node_0267",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"mangal_node_0268",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mangal_node_0239",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"mangal_node_0343",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"mangal_node_0312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"mangal_node_0301",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"mangal_node_0263",1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0
"mangal_node_0264",1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0
"mangal_node_0329",1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0
"mangal_node_0243",1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
"mangal_node_0284",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mangal_node_0251",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mangal_node_0273",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
