"","gateway_node_1440","gateway_node_4804","gateway_node_5232","gateway_node_1717","gateway_node_4001","gateway_node_3643","gateway_node_1858","gateway_node_3453","gateway_node_1730","gateway_node_355","gateway_node_4779","gateway_node_4808","gateway_node_2770","gateway_node_3890","gateway_node_5063","gateway_node_3629","gateway_node_4588","gateway_node_33","gateway_node_1156","gateway_node_2769","gateway_node_2384","gateway_node_2117","gateway_node_3957"
"gateway_node_1440",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_4804",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_5232",0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
"gateway_node_1717",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"gateway_node_4001",0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0
"gateway_node_3643",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"gateway_node_1858",0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0
"gateway_node_3453",0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
"gateway_node_1730",0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1
"gateway_node_355",1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1
"gateway_node_4779",0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1
"gateway_node_4808",0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0
"gateway_node_2770",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"gateway_node_3890",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"gateway_node_5063",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
"gateway_node_3629",0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"gateway_node_4588",0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
"gateway_node_33",0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
"gateway_node_1156",0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
"gateway_node_2769",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"gateway_node_2384",0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"gateway_node_2117",0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"gateway_node_3957",0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0
