"","gateway_node_246","gateway_node_330","gateway_node_329","gateway_node_346","gateway_node_515","gateway_node_517","gateway_node_2922","gateway_node_1726","gateway_node_3909","gateway_node_3197","gateway_node_4683","gateway_node_4786","gateway_node_1121","gateway_node_1197","gateway_node_1340","gateway_node_2245","gateway_node_2326","gateway_node_2339","gateway_node_2340","gateway_node_2355","gateway_node_2950","gateway_node_3359","gateway_node_3446","gateway_node_3447","gateway_node_3452","gateway_node_3527","gateway_node_3750","gateway_node_3833","gateway_node_4031","gateway_node_4078","gateway_node_4186","gateway_node_4221","gateway_node_4225","gateway_node_4437","gateway_node_4695","gateway_node_5213","gateway_node_5214","gateway_node_4373","gateway_node_5075","gateway_node_2896","gateway_node_75","gateway_node_1094","gateway_node_1748","gateway_node_1895","gateway_node_3213","gateway_node_3077","gateway_node_4830","gateway_node_65","gateway_node_74","gateway_node_1295","gateway_node_2094","gateway_node_2101","gateway_node_2104","gateway_node_497","gateway_node_3220","gateway_node_4745","gateway_node_4764","gateway_node_4616","gateway_node_498","gateway_node_3126","gateway_node_1297","gateway_node_1299","gateway_node_1927","gateway_node_3001","gateway_node_3212","gateway_node_3343","gateway_node_3905","gateway_node_4715","gateway_node_3422","gateway_node_5079","gateway_node_3244","gateway_node_3342","gateway_node_3901","gateway_node_67","gateway_node_1296","gateway_node_4671","gateway_node_741","gateway_node_4643","gateway_node_2088","gateway_node_2984","gateway_node_1281","gateway_node_3247","gateway_node_1398","gateway_node_1749","gateway_node_4318","gateway_node_4323","gateway_node_1893","gateway_node_4184"
"gateway_node_246",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_330",0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_346",0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"gateway_node_515",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_517",0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1726",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3909",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3197",0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
