"","mangal_node_0637","mangal_node_3596","mangal_node_0935","mangal_node_3594","mangal_node_3601","mangal_node_3595","mangal_node_0933","mangal_node_0884","mangal_node_0858","mangal_node_3597","mangal_node_3598","mangal_node_3599","mangal_node_3600","mangal_node_3603","mangal_node_0090","mangal_node_3602","mangal_node_3604","mangal_node_0893","mangal_node_3605","mangal_node_3606"
"mangal_node_0637",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
"mangal_node_3596",1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1
"mangal_node_0935",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"mangal_node_3594",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"mangal_node_3601",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"mangal_node_3595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0933",0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
"mangal_node_0884",1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
"mangal_node_0858",0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"mangal_node_3597",1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1
"mangal_node_3598",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3599",1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"mangal_node_3600",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"mangal_node_3603",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mangal_node_0090",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"mangal_node_3602",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3604",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"mangal_node_0893",1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"mangal_node_3605",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3606",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
