;Amazilia fimbriata;Anthracothorax nigricollis;Chlorostilbon lucidus;Eupetomena macroura;Florisuga fusca;Hylocharis chrysura;Thalurania furcata
Bauhinia rufa;0;0;0;0;0;0;18
Bromelia balansae;0;0;0;0;0;6;0
Cuspidaria lateriflora;0;5;0;0;0;8;0
Fridericia florida;0;1;0;0;0;0;0
Fridericia triplinervia;0;55;0;2;0;0;0
Handroanthus heptaphyllus;0;0;0;0;0;3;0
Heliconia sp.5;0;2;0;0;0;0;0
Inga vera;5;303;139;0;115;488;123
Jacaratia spinosa;90;421;172;17;0;284;0
Merremia macrocalyx;0;0;2;0;0;0;0
Psiguria ternata;0;20;56;63;0;133;0
Serjania glutinosa;0;0;6;0;0;12;10
Vitex cymosa;0;111;0;0;0;5;0
