;Florisuga fusca;Hylocharis cyanus;Phaethornis eurynome;Ramphodon naevius;Thalurania glaucopis
Aechmea distichantha;0;32;0;5;41
Aechmea nudicaulis;0;0;0;3;26
Aechmea organensis;0;45;0;11;91
Aechmea pectinata;0;0;0;17;8
Quesnelia arvensis;0;10;0;98;36
Quesnelia testudo;0;0;0;40;0
Quesnelia humilis;0;0;0;16;0
Nidularium antoineanum;0;0;0;60;0
Nidularium innocentii;0;0;0;21;0
Tillandsia geminiflora;8;0;0;4;0
Tillandsia stricta;9;0;0;0;0
Vriesea carinata;0;0;0;25;0
Vriesea ensiformis;0;0;0;36;0
Vriesea flammea;21;0;0;0;18
Vriesea incurvata;0;0;0;10;0
Vriesea philippocoburgii;0;0;3;9;6
Vriesea vagans;0;0;0;0;40
Erythrina speciosa;0;1;0;2;3
Heliconia farinosa;0;0;0;4;0
Justicia carnea;0;0;0;3;1
Psychotria carthagenensis;0;0;0;0;6
Pseudobombax grandiflorum;0;0;0;15;11
Pachira calophylla;2;1;0;0;3
Eriotheca pentaphylla;0;0;0;0;1
