;Amazilia cyanifrons;Amazilia franciae;Amazilia tzacatl;Anthracothorax nigricollis;Chlorostilbon gibsoni;Phaethornis guy
Calliandra purdiaei;0;0;5;0;0;0
Canna indica;0;9;0;0;0;2
Castilleja scorzonerifolia;0;0;0;0;1;0
Cavendishia pubescens;0;6;7;0;0;0
Guzmania sp.4;5;0;0;0;0;0
Hamelia patens;1;3;4;0;14;0
Heliconia sp.1;0;0;0;0;0;1
Ipomoea sp.1;0;0;2;0;3;0
Mandevilla mollissima;0;0;0;0;2;0
Manettia sabiceoides;0;0;0;0;10;0
Musa sp.1;0;11;0;17;0;6
Psammisia penduliflora;0;2;5;0;0;0
Syzygium jambos;38;27;67;9;0;0
