;Amazilia fimbriata;Amazilia lactea;Chlorostilbon lucidus;Chrysolampis mosquitus;Eupetomena macroura;Heliomaster squamosus;Anopetia gounellei;Phaethornis pretrei
Apodanthera villosa;0;0;341;0;0;0;0;0
Camptosema coriaceum;0;0;118;0;0;0;0;46
Encholirium brachypodum;0;0;211;0;0;0;0;0
Eriope latifolia;0;0;381;0;0;0;0;0
Fridericia erubescens;0;0;0;0;0;4;0;6
Handroanthus impetiginosus;0;0;0;0;5;1;0;0
Handroanthus selachidentatus;0;0;132;0;2;1;0;2
Helicteres velutina;0;0;87;0;0;0;0;0
Hohenbergia ridleyi;0;0;93;0;0;0;0;0
Hyptis cuniloides;0;0;6;0;0;0;0;0
Ipomoea subincana;0;0;80;0;0;0;0;0
Jatropha mutabilis;0;0;55;0;3;0;0;0
Lessingianthus linearis;0;0;393;0;0;0;0;0
Ligaria teretiflora;276;0;588;0;33;0;0;0
Melocactus concinnus;0;0;42;0;0;0;0;0
Melocactus ernestii;0;0;340;0;0;0;0;0
Micranthocereus flaviflorus;0;11;1307;2;64;0;17;7
Mysanthus uleanus;0;0;24;0;0;0;0;0
Neoglaziovia variegata;0;0;31;0;0;0;3;0
Nephradenia asparagoides;0;0;38;0;0;0;0;0
Opuntia werneri;0;0;19;0;0;0;1;0
Passiflora luetzelburgii;0;1;5;2;85;3;57;30
Pilosocereus pachycladus;0;0;26;0;4;0;10;6
Psittacanthus bicalyculatus;0;0;116;3;0;1;0;0
Serjania caracasana;0;0;110;0;0;0;0;0
Tacinga inamoena;0;0;112;0;0;0;0;0
Tripodanthus acutifolius;0;0;55;0;0;0;0;0
