;Augastes scutatus;Campylopterus largipennis;Phaethornis pretrei;Colibri serrirostris;Eupetomena macroura;Chlorostilbon lucidus
Hololepis pedunculata;16;3;88;48;0;0
Vochysia emarginata;54;0;0;0;0;284
Pilosocereus aurisetus;5;18;8;0;0;0
Agalinis angustifolia;19;17;2;0;0;0
Lobelia fistulosa;0;148;64;156;43;0
Eremanthus crotonoides;30;0;0;12;0;0
Aechmea lamarchei;13;2;2;0;0;0
Stachytarpheta mexiae;38;0;0;0;0;2
Gaylussacia oleifolia;5;82;0;0;0;16
Paliavana sericiflora;0;3;1;0;0;0
Lepidaploa sp. 1;50;0;0;0;0;0
Vriesea procera;0;6;23;0;0;0
Psychotria vellosiana;52;0;0;0;5;0
Encholirium subsecundum;7;18;0;4;0;0
Billbergia amoena;0;0;4;0;7;0
Neoregelia bahiana;0;6;1;0;0;0
Vochysia sp.1;8;0;0;0;0;0
Eremanthus erythropappus;114;0;0;0;0;0
Lessingianthus roseus;8;0;0;0;0;0
Piptolepis leptospermoides;18;0;0;0;0;0
Gaylussacia brasiliensis;20;0;0;0;0;0
Agarista coriifolia;6;0;0;0;0;0
Erythroxylum vaccinifolium;9;0;0;0;0;0
Nematanthus strigillosus;97;0;0;0;0;0
Vellozia epidendroides;24;0;0;0;0;0
Hyptis sp. 1;138;0;0;0;0;0
Vernonanthura phosphorica;9;0;0;0;0;0
Malvaceae sp.1;74;0;0;0;0;0
Protium sp.1;9;0;0;0;0;0
Stachytarpheta glabra;230;0;0;0;0;0
Barbacenia luzulifolia;0;5;5;0;0;0
Billbergia vittata;0;0;3;0;0;0
Gaylussacia montana;15;0;0;0;0;0
Cuphea ericoides;4;0;0;0;0;0
Gordonia fruticosa;19;0;0;0;0;0
Acritopappus longifolius;4;0;0;0;0;0
Myrcia lasiantha;2;0;0;0;0;0
Barbacenia flava;0;0;0;2;0;0
Esterhazya splendida;0;8;0;3;0;0
Chronopappus bifrons;0;0;0;0;0;3
Hippeastrum cipoanum;0;0;1;0;0;0
Trixis vauthieri;5;0;0;0;0;0
Dyckia sp.1;0;12;0;0;0;0
Tillandsia gardneri;0;0;0;0;0;6
Cipocereus minensis;0;2;0;0;0;0
Siphocampylus fimbriatus;0;0;6;0;0;0
Calolisianthus pendulus;0;0;0;3;0;0
Barbacenia gentianoides;0;0;1;0;0;0
Vriesea medusa;0;1;0;0;0;0
