;Amazilia tzacatl;Florisuga mellivora;Klais guimeti;Phaeochroa cuvierii;Phaethornis longirostris;Phaethornis striigularis;Thalurania colombica;Threnetes ruckeri
Aechmea mariae-reginae;16;0;0;0;0;1;16;0
Aphelandra storkii;0;0;0;0;3;0;0;0
Besleria columneoides;0;0;0;0;0;1;0;0
Calathea gymnocarpa;0;0;0;0;0;1;0;0
Calathea inocephala;0;0;0;0;0;5;0;1
Calathea lutea;0;0;0;0;0;1;0;0
Costus pulverulentus;0;0;0;0;1;0;0;0
Costus scaber;0;0;0;0;1;0;0;0
Guzmania monostachia;0;0;0;0;0;2;0;0
Hamelia patens;33;0;9;0;1;1;7;0
Heliconia imbricata;16;0;0;1;2;0;37;0
Heliconia latispatha;9;0;0;0;2;0;5;0
Heliconia mariae;45;0;0;0;1;0;3;0
Heliconia mathiasiae;1;0;0;0;3;0;0;0
Heliconia pogonantha;0;0;0;0;1;0;0;0
Heliconia wagneriana;0;0;0;0;2;0;0;0
Pentagonia monocaulis;0;0;0;0;1;8;1;0
Psychotria elata;0;0;0;0;1;0;0;0
Psychotria poeppigiana;0;0;0;0;0;8;0;0
Renealmia cernua;0;0;0;0;4;46;3;0
Schlegelia fastigiata;0;0;0;0;0;0;8;0
Warszewiczia coccinea;0;1;0;0;0;0;0;0
