;Doryfera ludovicae;Eupherusa nigriventris;Eutoxeres aquila;Heliodoxa jacula;Lampornis calolaemus;Lampornis hemileucus;Phaethornis guy;Phaethornis striigularis
Besleria notabilis;0;1;0;0;0;0;0;0
Calathea lasiostachya;0;0;0;0;0;1;0;0
Cavendishia callista;2;1;0;0;1;1;6;0
Cavendishia complectens;0;2;0;0;0;3;0;1
Cavendishia quereme;0;0;0;0;0;1;0;0
Centropogon granulosus;0;0;1;0;0;0;0;0
Columnea purpurata;0;0;0;0;0;0;1;0
Columnea querceti;0;0;0;0;0;0;1;0
Costus curvibracteatus;0;4;0;0;0;1;2;0
Costus pulverulentus;0;1;0;0;0;2;22;0
Drymonia conchocalyx;0;0;0;0;0;0;3;0
Faramea eurycarpa;0;1;0;0;0;0;0;0
Gurania coccinea;0;0;0;0;1;1;2;2
Guzmania nicaraguensis;0;0;0;0;0;0;3;0
Heliconia atropurpurea;0;0;0;0;0;0;38;0
Heliconia vaginalis;0;2;0;0;0;1;23;0
Hillia triflora;0;0;0;0;0;1;1;0
Palicourea gomezii;0;4;0;0;0;1;0;0
Palicourea sp.3;0;5;0;0;0;0;0;0
Pitcairnia brittoniana;0;0;0;1;0;0;6;0
Psammisia ramiflora;4;0;0;0;0;0;0;0
Psychotria elata;0;5;0;0;0;31;0;0
Renealmia cernua;0;0;0;0;0;5;0;1
Satyria meiantha;11;3;0;0;0;0;2;0
Thibaudia costaricensis;0;9;0;0;0;4;0;0
