;Adelomyia melanogenys;Aglaiocercus coelestis;Amazilia franciae;Amazilia tzacatl;Boissonneaua flavescens;Boissonneaua jardini;Calliphlox mitchellii;Coeligena wilsoni;Colibri coruscans;Colibri delphinae;Colibri cyanotus;Doryfera ludovicae;Florisuga mellivora;Heliodoxa imperatrix;Heliodoxa rubinoides;Ocreatus underwoodii;Phaethornis syrmatophorus;Thalurania colombica;Urosticte benjamini
Abutilon darwinii;0;2;1;13;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Alloplectus sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Besleria solanoides;0;10;0;1;0;0;1;2;0;0;0;0;0;0;0;33;0;0;1
Bomarea pardina;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Bougainvillea sp.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Brugmansia arborea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Burmeistera cyclostigmata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Burmeistera sp.1;0;19;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
Canna sp.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cavendishia grandifolia;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
Cavendishia tarapotana;0;0;0;21;0;4;0;43;0;6;0;15;0;0;0;7;16;0;8
Centropogon sp.3;0;4;0;1;0;0;0;6;0;0;0;0;0;0;0;0;3;0;0
Cestrum sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Clusia sp. 4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0
Columnea ciliata;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Columnea medicinalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
Columnea strigosa;0;3;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Ericaceae sp.1;0;1;0;5;0;2;0;15;0;0;0;1;0;0;0;1;0;0;0
Erythrina sp.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leguminosae sp. 1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fuchsia macrostigma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Furcraea sp.1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gasteranthus sp.1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;3;0;0
Gesneriaceae sp.1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0
Gesneriaceae sp.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
Gesneriaceae sp.3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Glossoloma bolivianum;0;0;8;33;0;0;0;30;0;0;0;0;0;0;10;2;7;0;4
Guzmania danielii;0;2;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0
Guzmania jaramilloi;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0
Guzmania sp.1;0;0;2;7;0;0;0;25;0;0;0;0;0;0;0;1;9;0;0
Guzmania sp.2;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0
Guzmania teuscheri;0;11;0;2;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0
Heliconia burleana;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Heliconia sp.2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hibiscus rosa-sinensis;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Impatiens sp.1;0;0;0;15;0;1;1;4;1;0;0;0;0;2;2;18;1;0;0
Inga sp.2;1;141;45;172;1;42;25;16;16;250;2;0;1;3;30;145;0;3;18
Iridaceae sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Kalanchoe sp.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Kohleria spicata;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
Lamiaceae sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
Lecythidaceae sp. 1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Macleania pentaptera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Macleania recumbens;0;15;0;8;0;0;3;5;0;0;0;1;0;0;0;0;0;0;0
Malvaviscus arboreus;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melastomataceae sp. 1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;26;0;0;0
Musa sp.2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Orchidaceae sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
Palicourea anderssoniana;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;11;0;0;0
Palicourea demissa;0;29;0;2;0;3;0;2;2;1;0;0;0;0;0;77;0;0;2
Palicourea sodiroi;1;0;0;0;0;0;0;2;0;0;0;17;0;0;0;1;0;0;1
Passifloraceae sp.1;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pitcairnia nigra;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0
Psammisia aberrans;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
Psammisia ecuadorensis;0;6;0;0;0;0;0;37;0;0;0;9;0;0;0;1;0;0;0
Psammisia oreogenes;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psammisia pauciflora;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Psammisia sodiroi;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Psammisia ulbrichiana;0;1;0;0;0;0;0;45;0;0;0;12;0;0;0;29;0;0;59
Renealmia sessilifolia;0;20;0;0;0;0;0;2;0;0;0;0;0;0;0;2;3;0;0
Rubiaceae sp.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Rutaceae sp.1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0
Salvia sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
Sambucus sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
Sarcopera sp.1;0;17;0;3;1;33;0;3;23;2;0;0;0;0;0;21;0;0;9
