;Amazilia candida;Amazilia rutila;Anthracothorax prevostii;Archilochus colubris;Heliomaster constantii;Hylocharis eliciae;Amazilia beryllina
Cordia alliodora;13;0;0;0;0;0;0
Critonia morifolia;7;0;0;0;0;0;0
Diphysa floribunda;5;0;0;0;0;0;9
Handroanthus impetiginosus;175;80;160;43;41;0;147
Heliconia adflexa;5;0;0;0;3;0;0
Ipomoea tricolor;17;0;0;0;0;0;8
Schizolobium parahyba;1234;58;150;0;0;174;751
SP1;23;0;0;0;0;0;10
Erythrina chiapasana;0;0;9;0;10;0;0
Serjania mexicana;0;0;0;7;0;0;0
Triplaris americana;0;0;0;7;0;0;0
Hamelia patens;0;0;0;0;0;0;7
Lonchocarpus guatemalensis;0;0;0;0;0;0;4
Odontonema glabrum;0;0;0;0;0;0;18
Arachnothryx gonzaleoides;0;0;0;0;0;0;18
Russelia sarmentosa;0;0;0;0;0;0;2
Tecoma stans;0;0;0;0;0;0;3
Trema micrantha;0;0;0;0;0;0;5
Trichospermum mexicanum;0;0;0;0;0;0;4
Wigandia urens;0;0;0;0;0;0;2
