;Florisuga fusca;Anthracothorax nigricollis;Stephanoxis loddigesii;Chlorostilbon lucidus;Hylocharis chrysura;Leucochloris albicollis;Thalurania glaucopis
Erythrina speciosa;1;2;0;0;13;0;0
Erythrina crista-galli;0;1;0;0;29;0;0
Calliandra tweedii;2;0;2;0;56;1;2
Calliandra brevipes;0;0;0;0;1;0;0
Luehea divaricata;0;0;0;0;119;0;0
Jacaranda mimosifolia;0;2;0;0;2;0;0
Tillandsia aeranthos;0;0;1;0;12;0;1
Aechmea nudicaulis;0;0;0;1;29;0;0
Bromelia antiacantha;0;0;0;0;2;0;0
Aechmea recurvata;0;0;0;0;2;0;0
Melaleuca leucadendra;0;0;0;0;64;0;0
Callistemon speciosus;2;0;0;0;43;0;0
Justicia brasiliana;0;0;7;21;41;1;15
Dicliptera pohliana;0;0;0;0;2;0;0
Campsis grandiflora;0;0;0;0;1;1;0
Tropaeolum pentaphylum;0;0;1;0;1;0;0
