;Amazilia fimbriata;Amazilia versicolor;Phaethornis squalidus;Ramphodon naevius;Thalurania glaucopis
Besleria longimucronata;1;0;1;13;2
Billbergia pyramidalis;0;0;0;11;0
Nidularium seidelii;0;0;0;18;0
Dahlstedtia pinnata;0;0;0;5;1
Heliconia angusta;0;0;0;6;0
Heliconia farinosa;0;0;0;21;0
Inga semialata;0;1;0;0;0
Justicia carnea;0;0;0;3;0
Nematanthus fluminensis;0;0;0;4;0
Neoregelia johannis;0;0;0;13;0
Nidularium angustifolium;0;0;0;9;0
Nidularium innocentii;0;0;0;8;0
Psychotria nuda;0;0;0;8;0
Sanchezia nobilis;0;0;0;27;0
Vriesea ensiformis;0;0;0;2;0
Vriesea rodigasiana;0;0;0;18;1
