;Adelomyia melanogenys;Aglaiocercus kingii;Boissonneaua flavescens;Chaetocercus mulsant;Chlorostilbon poortmani;Coeligena prunellei;Coeligena torquata;Colibri coruscans;Colibri cyanotus;Doryfera ludovicae;Heliangelus clarisse;Ocreatus underwoodii
Aphelandra sp.1;2;2;0;0;0;5;0;0;0;0;1;0
Bomarea carderi;0;0;0;0;0;0;3;0;0;0;0;0
Burmeistera globosa;0;0;0;0;0;1;0;0;0;0;0;0
Cavendishia bracteata;1;0;0;0;1;0;0;0;0;0;0;0
Cavendishia guatapeensis;2;0;1;0;0;0;1;0;0;0;0;0
Cavendishia pubescens;0;0;0;0;0;0;8;0;0;5;0;0
Clusia sp. 3;1;1;7;0;0;0;0;12;19;0;5;2
Disterigma sp.2;11;0;4;0;0;0;0;0;0;0;4;0
Elleanthus smithii;3;0;0;0;2;0;0;19;0;0;0;0
Guzmania squarrosa;0;0;0;1;11;0;0;19;6;0;8;0
Huilaea minor;0;0;37;0;0;1;0;0;0;0;0;0
Macrocarpaea sp. 2;0;0;0;0;0;5;1;0;0;0;0;0
Manettia sabiceoides;0;0;0;0;0;0;0;0;0;0;0;2
Palicourea vagans;6;0;5;1;0;2;2;0;0;0;3;3
Palicourea demissa;0;0;0;0;0;11;1;0;0;0;0;0
Palicourea sp.1;1;0;2;0;0;1;1;0;0;2;13;1
Phaseolus coccineus;15;0;0;0;4;0;0;0;0;0;0;0
Pitcairnia sp. 1;0;0;0;0;0;0;0;2;0;0;0;0
Posoqueria sp.1;0;0;0;0;0;1;0;0;0;0;0;0
Psammisia falcata;0;0;0;0;0;28;0;0;0;14;0;0
Thibaudia rigidiflora;0;0;0;0;0;1;0;0;0;0;0;0
Tillandsia turneri;0;0;0;0;0;9;0;0;0;0;0;0
