;Abeillia abeillei;Amazilia candida;Amazilia rutila;Archilochus colubris;Atthis ellioti;Campylopterus hemileucurus;Campylopterus rufus;Heliomaster constantii;Lampornis viridipallens;Amazilia beryllina;Tilmatura dupontii
Bejaria aestuans;0;0;0;0;4;0;0;0;7;0;0
Calliandra magdalenae;0;0;0;2;0;0;0;0;0;1;0
Clethra mexicana;3;0;0;0;2;0;0;0;0;5;0
Cuphea nitidula;0;0;0;0;0;0;0;0;43;0;0
Erythrina chiapasana;0;0;0;0;0;0;0;12;0;0;0
Fuchsia paniculata;0;0;0;13;0;0;0;0;14;0;6
Heliconia adflexa;0;0;0;0;0;9;2;0;0;0;0
Heliconia collinsiana;0;0;0;0;0;18;13;0;0;0;0
Inga densiflora;0;53;7;0;0;0;0;0;0;247;0
Ipomoea cholulensis;0;0;0;0;0;9;0;0;0;0;0
Ipomoea tricolor;0;2;0;0;0;0;0;0;0;12;0
Malvaviscus arboreus;0;0;0;0;0;8;12;0;0;0;0
Moussonia deppeana;0;0;0;0;0;0;0;0;4;9;0
Psittacanthus rhynchanthus;0;0;0;0;0;0;0;0;0;2;0
Psychotria costivenia;6;0;0;0;0;0;0;0;0;0;0
Rogiera cordata;0;0;0;0;0;0;0;0;2;0;0
Arachnothryx gonzaleoides;0;0;0;0;0;0;0;0;0;10;0
Rovaeanthus strigosus;0;0;0;0;0;0;0;0;0;2;0
Russelia sarmentosa;0;0;0;1;0;0;0;0;0;4;0
Salvia tonalensis;0;0;0;0;0;0;0;0;0;10;0
Saurauia scabrida;0;0;0;0;0;5;0;0;0;11;0
Serjania mexicana;0;14;0;0;0;0;0;0;0;0;0
SP2;0;0;0;0;0;10;0;0;0;7;0
SP3;0;0;0;0;0;0;0;0;0;4;0
SP4;2;0;0;0;0;0;0;0;0;0;0
Symplocos longipes;0;0;0;0;0;0;0;0;0;8;0
Triplaris americana;0;0;0;0;0;0;0;0;0;3;0
Triumfetta speciosa;0;0;0;18;0;14;8;0;41;6;5
