;Aglaeactis cupripennis;Chalcostigma herrani;Coeligena lutetiae;Ensifera ensifera;Eriocnemis derbyi;Eriocnemis mosquera;Lafresnaya lafresnayi;Metallura tyrianthina;Pterophanes cyanopterus
Barnadesia spinosa;51;0;0;0;11;3;11;11;0
Bejaria aestuans;0;0;0;0;0;1;0;0;0
Bomarea linifolia;0;1;0;0;0;5;0;0;0
Bomarea sp.2;2;0;0;0;2;3;0;0;0
Brachyotum ledifolium;3;0;0;0;0;5;0;0;1
Brachyotum lindenii;3;14;0;0;0;34;0;0;0
Brachyotum sp.2;0;0;0;0;0;7;0;0;0
Centropogon sp.2;0;0;0;0;2;1;2;0;0
Desfontainia spinosa;0;0;1;0;1;23;0;0;0
Diplostephium sp.1;0;0;0;0;0;1;0;0;0
Disterigma codonanthum;0;5;0;0;3;22;0;14;0
Disterigma sp.1;0;0;0;0;0;7;0;5;0
Elleanthus sp.;0;1;0;0;0;4;0;0;0
Espeletia sp.1;0;16;0;0;0;0;0;0;0
Fuchsia corollata;1;0;3;0;0;0;0;0;0
Gaiadendron punctatum;0;10;0;0;0;0;0;0;0
Gaultheria erecta;0;1;0;0;0;5;0;7;0
Gaultheria insipida;0;1;0;0;0;0;0;1;0
Gaultheria myrsinoides;0;1;0;0;0;0;0;0;0
Guzmania bakeri;0;0;0;0;1;24;0;0;0
Guzmania candelabrum;0;1;0;0;4;22;0;1;0
Macleania rupestris;0;2;0;0;3;24;0;1;1
Passiflora mixta;0;0;0;3;0;1;0;0;0
Puya clava-herculis;1;0;0;0;0;5;0;0;30
Siphocampylus giganteus;22;0;1;0;3;5;0;0;3
Siphocampylus paramicola;26;0;0;0;10;6;7;0;24
Tillandsia complanata;0;0;0;0;0;3;0;1;0
Tillandsia orbicularis;0;0;0;0;0;11;0;0;0
Tillandsia tetrantha;0;0;0;0;2;3;0;5;0
Tristerix longebracteatus;0;0;0;0;0;0;0;0;4
Vaccinium floribundum;0;1;0;0;0;5;0;2;0
