;Phaethornis ruber;Phaethornis eurynome;Ramphodon naevius;Amazilia fimbriata;Anthracothorax nigricollis;Aphantochroa cirrochloris;Hylocharis cyanus;Lophornis chalybeus;Florisuga fusca;Thalurania glaucopis;Eupetomena macroura
Justicia carnea;0;0;3;0;0;0;0;0;0;0;0
Aechmea distichantha;0;0;4;0;0;0;0;0;0;0;0
Aechmea nudicaulis;0;0;4;0;0;0;1;0;0;1;0
Aechmea pectinata;0;0;6;0;0;0;0;0;0;0;0
Billbergia pyramidalis;0;0;10;0;0;0;0;0;0;0;0
Nidularium seidelii;0;0;2;0;0;0;0;0;0;0;0
Canistrum terminalis;0;0;1;0;0;0;0;0;0;0;0
Neoregelia johannis;0;0;6;0;0;0;0;0;0;0;0
Nidularium innocentii;0;0;10;0;0;0;0;0;0;0;0
Nidularium procerum;0;0;6;0;0;0;0;0;0;0;0
Quesnelia arvensis;0;0;5;0;0;0;0;0;0;2;0
Quesnelia humilis;0;0;2;0;0;0;0;0;0;0;0
Quesnelia marmorata;0;0;6;8;0;0;1;0;0;2;0
Tillandsia gardneri;1;0;0;0;0;0;0;0;0;0;0
Tillandsia geminiflora;1;0;0;0;0;0;0;0;0;0;0
Tillandsia stricta;0;0;0;0;0;0;0;0;0;1;0
Vriesea ensiformis;0;0;3;0;0;0;0;0;0;0;0
Vriesea flammea;0;0;6;0;0;0;0;0;1;1;0
Vriesea incurvata;0;0;6;0;0;0;0;0;0;0;0
Vriesea philippocoburgii;0;0;2;0;0;0;0;0;0;0;0
Vriesea procera;0;0;0;1;0;0;0;0;0;0;0
Vriesea rodigasiana;1;1;0;0;0;0;0;0;0;1;0
Vriesea scalaris;0;0;2;0;0;0;0;0;0;0;0
Buddleja brasiliensis;0;0;0;0;0;0;0;1;0;0;0
Costus spiralis;0;0;8;0;0;0;0;0;0;0;0
Dahlstedtia pinnata;0;0;6;0;0;0;0;0;0;0;0
Erythrina speciosa;0;0;4;0;0;0;0;0;0;0;0
Nematanthus fissus;10;0;0;0;0;0;0;0;0;1;0
Nematanthus fluminensis;0;0;8;0;0;0;0;0;0;0;0
Nematanthus fritschii;0;0;4;0;0;0;0;0;0;0;0
Heliconia angusta;0;0;6;0;0;0;0;0;0;0;0
Heliconia spathocircinata;3;0;8;0;0;0;0;0;0;0;0
Heliconia farinosa;1;0;4;5;0;0;0;0;0;9;0
Centropogon cornutus;10;0;6;0;0;0;0;0;0;0;0
Psittacanthus dichrous;0;0;0;0;0;0;2;0;0;0;0
Schwartzia brasiliensis;0;0;0;6;8;2;1;1;16;9;2
Mendoncia coccinea;6;0;0;0;0;0;0;0;0;5;0
Manettia gracilis;0;2;0;0;0;0;0;0;0;0;0
Psychotria nuda;6;0;1;0;0;0;0;0;0;3;0
Psychotria nemorosa;2;0;0;0;0;0;0;0;0;1;0
