;Archilochus colubris;Calothorax lucifer;Colibri thalassinus;Eugenes fulgens;Basilinna leucotis;Lampornis amethystinus;Lampornis clemenciae;Selasphorus platycercus;Selasphorus rufus;Selasphorus sasin
Bouvardia ternifolia;17;1;10;9;19;0;7;7;3;4
Castilleja scorzonerifolia;0;0;0;2;2;0;0;0;0;0
Castilleja tenuiflora;1;1;0;2;4;0;0;11;7;11
Cirsium nivale;0;0;5;5;3;0;7;0;0;0
Echeveria gibbiflora;0;0;0;0;4;0;0;0;0;0
Fuchsia microphylla;0;0;0;0;6;0;0;0;0;0
Penstemon gentianoides;3;0;11;12;9;0;10;0;7;0
Penstemon roseus;24;0;8;9;15;0;11;8;12;19
Prunella vulgaris;0;0;0;2;2;0;0;9;7;9
Salvia elegans;0;0;6;7;18;1;8;10;7;11
Salvia mocinoi;0;0;0;1;3;0;0;10;0;0
