;Colibri cyanotus;Eugenes spectabilis;Panterpe insignis;Selasphorus flammula
Bomarea sp.3;0;12;0;9
Castilleja irasuensis;0;0;3;57
Cavendishia bracteata;1;1;34;0
Centropogon costaricae;18;0;0;0
Centropogon talamancensis;0;144;0;3
Centropogon valerii;140;1;18;4
Cirsium subcoriaceum;0;89;0;0
Fuchsia microphylla;0;0;34;110
Fuchsia splendens;0;14;3;0
Gaiadendron punctatum;2;0;58;4
Gaultheria erecta;0;0;2;18
Macleania rupestris;2;9;163;8
Miconia sp.1;6;0;64;44
Rubus sp.2;0;0;3;27
Salvia carnea;3;1;10;48
Tropaeolum moritzianum;0;0;29;20
Vaccinium consanguineum;0;0;17;42
Vriesea ororiensis;6;6;74;10
