;Calliphlox amethystina;Chlorostilbon lucidus;Chrysolampis mosquitus;Colibri serrirostris;Eupetomena macroura;Heliactin bilophus;Anopetia gounellei;Phaethornis pretrei
Calliandra sessilis;0;0;0;0;0;1;110;0
Calliandra sincorana;0;0;0;4;0;6;0;0
Camptosema coriaceum;0;2;0;5;0;0;0;1
Dyckia dissitiflora;0;0;0;0;0;24;0;0
Lippia sp. 1;0;0;0;0;0;5;0;0
Lychnophora rosmarinifolia;0;8;0;0;0;16;0;0
Lychnophora salicifolia;4;65;2;48;0;52;70;0
Manettia cordifolia;0;0;0;0;0;24;6;1
Ruellia sp.1;0;20;0;24;0;0;0;0
Sida cordifolia;0;0;0;0;0;18;0;0
Zeyheria montana;0;0;0;271;13;2;0;0
