;Adelomyia melanogenys;Boissonneaua flavescens;Coeligena torquata;Eriocnemis mirabilis;Haplophaedia aureliae;Heliangelus exortis;Metallura tyrianthina;Phaethornis syrmatophorus
Besleria quadrangulata;0;1;1;8;1;0;1;0
Bomarea polyneura;0;0;3;1;0;1;0;0
Burmeistera carnosa;0;0;1;0;0;0;0;0
Burmeistera ceratocarpa;0;0;1;1;0;0;0;0
Burmeistera killipii;1;0;3;5;1;0;0;0
Cavendishia bracteata;0;0;5;5;0;0;0;0
Clusia sp. 1;0;0;0;1;0;0;2;0
Disterigma cryptocalyx;0;0;0;0;0;0;1;0
Disterigma alaternoides;0;0;0;0;1;0;3;0
Elleanthus aurantiacus;0;0;0;1;3;0;7;0
Gaultheria erecta;0;0;0;0;2;0;1;0
Gaultheria foliolosa;0;0;0;0;0;0;1;0
Gaultheria insipida;0;0;0;0;0;0;2;0
Guzmania andreana;0;0;3;1;0;0;0;1
Guzmania gracilior;0;0;0;0;0;1;1;0
Marcgravia sp. 2;0;0;0;0;6;0;1;0
Miconia micayana;0;0;0;1;0;0;0;0
Miconia stipularis;0;0;0;2;1;0;1;0
Palicourea angustifolia;0;0;0;4;1;0;1;0
Palicourea sp. 5;0;0;0;1;0;0;0;0
Pitcairnia exserta;0;0;0;0;0;0;0;2
Pitcairnia lehmannii;0;0;7;0;0;0;0;0
Psammisia columbiensis;0;0;11;3;0;0;0;0
Psammisia sp. 4;0;0;1;0;0;0;0;0
Thibaudia sp. 1;0;0;3;8;0;0;3;0
Tillandsia delicatula;0;0;0;1;0;0;0;0
Tillandsia sp. 4;0;0;2;0;0;0;0;1
