;Heliangelus amethysticollis;Ocreatus underwoodii;Coeligena coeligena;Coeligena torquata;Doryfera ludovicae;Colibri cyanotus;Haplophaedia aureliae;Adelomyia melanogenys;Phaethornis syrmatophorus
Psammisia sp. 2;0;0;22;0;6;0;0;1;0
Bomarea pardina;0;0;7;5;0;0;0;1;0
Macleania floribunda;1;0;0;1;0;0;0;0;0
Palicourea luteonivea;0;0;0;0;0;0;0;1;0
Maxillaria sp.1;0;0;3;0;0;0;0;7;0
Guzmania gloriosa;0;0;13;0;0;0;0;0;0
Cavendishia bracteata;0;0;11;0;2;0;6;2;0
Drymonia urceolata;0;0;2;0;0;0;0;1;7
Siphocampylus scandens;2;0;25;0;0;0;2;9;0
Palicourea canarina;0;0;9;0;0;0;3;3;0
Palicourea stenosepala;2;11;2;0;0;8;0;23;0
Aechmea sp.1;0;0;2;0;0;0;0;0;0
Orthaea abbreviata;0;0;6;2;1;0;0;0;0
