;Phaethornis eurynome;Calliphlox amethystina;Clytolaema rubricauda;Leucochloris albicollis;Thalurania furcata;Stephanoxis lalandi;Amazilia fimbriata
Justicia floribunda;0;0;0;0;0;1;0
Bomarea edulis;0;0;0;0;0;2;0
Mutisia campanulata;9;0;0;3;0;0;0
Mutisia speciosa;5;0;0;11;0;1;0
Fridericia speciosa;0;0;0;1;0;0;0
Pyrostegia venusta;1;0;3;1;0;0;0
Spirotheca rivieri;0;0;6;2;0;0;0
Aechmea distichantha;4;0;0;2;0;10;0
Billbergia distachya;4;0;0;1;0;0;0
Canistrum ambiguum;1;0;0;0;0;0;0
Nidularium angustibracteatum;6;0;0;0;0;0;0
Nidularium marigoi;3;0;0;0;0;0;0
Tillandsia geminiflora;1;0;0;0;0;0;0
Tillandsia stricta;1;0;2;2;1;3;0
Vriesea ensiformis;2;0;0;0;0;0;0
Vriesea x morreniana;3;0;0;0;0;0;0
Canistrum cyathiforme;5;0;0;2;0;0;0
Buddleja brasiliensis;0;4;0;0;0;18;0
Camptosema scarlatinum;2;0;0;1;0;1;0
Collaea speciosa;2;0;0;0;0;9;0
Erythrina speciosa;7;0;20;6;0;0;0
Nematanthus sericeus;0;0;0;1;0;0;0
Sinningia cooperi;10;0;0;0;0;0;0
Sinningia douglasii;5;0;0;7;0;1;0
Salvia balaustina;9;0;0;0;1;0;0
Lobelia fistulosa;8;0;0;4;0;0;0
Siphocampylus sulfureus;1;0;3;5;0;0;0
Psittacanthus dichrous;0;0;0;0;0;0;1
Bakeridesia rufinervis;8;0;26;6;0;6;0
Fuchsia regia;6;0;20;3;1;7;0
Manettia cordifolia;4;0;0;0;0;0;0
