;Amazilia lactea;Augastes lumachella;Calliphlox amethystina;Chlorostilbon lucidus;Chrysolampis mosquitus;Colibri serrirostris;Phaethornis pretrei
Aechmea bromeliifolia;0;0;0;9;0;0;0
Aniseia martinicensis;0;0;0;9;0;0;0
Barbacenia blanchetii;0;0;0;0;0;0;9
Blepharodon pictum;0;0;0;7;0;0;0
Calliandra hygrophila;0;0;0;0;0;4;0
Calliandra mucugeana;33;0;11;13;29;22;3
Calliandra viscidula;0;0;1;62;3;1;0
Camptosema coriaceum;0;0;0;20;1;0;18
Cattleya elongata;0;0;0;1;0;0;1
Clusia melchiorii;0;0;0;19;0;0;0
Cuphea ericoides;1;0;1;64;2;0;0
Ditassa retusa;0;0;0;5;0;0;0
Gaylussacia virgata;0;0;0;4;0;0;0
Hippeastrum aulicum;0;0;0;0;0;0;17
Hohenbergia ridleyi;1;0;1;62;38;1;6
Humiria balsamifera;0;0;13;78;1;0;0
Jacaranda irwinii;0;0;0;17;0;0;0
Lantana camara;0;0;0;5;0;0;0
Lepidaploa cotoneaster;0;0;0;3;0;0;4
Manettia cordifolia;0;0;0;36;0;0;25
Manihot jacobinensis;0;0;0;7;0;0;0
Manihot reniformis;0;0;0;1;0;0;0
Micranthocereus purpureus;0;0;0;0;0;0;5
Pseudostifftia kingii;0;0;0;17;0;0;0
Neoregelia bahiana;0;0;0;0;0;0;3
Orthophytum albopictum;0;0;0;45;0;8;6
Palicourea marcgravii;0;0;0;39;0;0;3
Pavonia luetzelburgii;0;0;0;10;0;0;10
Periandra mediterranea;1;0;0;9;1;61;2
Siphocampylus imbricatus;0;0;0;0;0;0;3
Spigelia pulchella;0;0;0;2;0;0;5
Stachytarpheta crassifolia;2;1;0;100;2;8;1
Stipecoma peltigera;0;0;0;13;0;0;0
Vochysia pyramidalis;0;1;0;13;2;1;0
Waltheria cinerescens;0;1;0;6;0;0;0
