;Adelomyia melanogenys;Aglaiocercus kingii;Chaetocercus mulsant;Coeligena coeligena;Coeligena torquata;Colibri cyanotus;Colibri coruscans;Doryfera ludovicae;Eutoxeres aquila;Haplophaedia aureliae;Heliangelus exortis;Heliodoxa rubinoides;Lafresnaya lafresnayi;Ocreatus underwoodii;Phaethornis syrmatophorus
Besleria riparia;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Besleria solanoides;3;5;2;2;0;4;0;0;0;2;14;0;0;6;0
Bomarea carderi;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0
Bomarea multiflora;0;0;0;1;2;0;0;0;0;1;0;1;0;0;0
Bomarea patinii;1;0;0;4;2;1;0;1;0;0;0;1;1;0;0
Cavendishia bracteata;64;11;8;24;11;35;0;0;0;44;0;0;5;0;0
Cavendishia nitida;0;0;0;0;12;0;0;3;0;0;3;0;0;0;4
Cavendishia sp. 1;1;0;0;2;1;0;4;0;0;3;0;0;0;0;0
Centropogon curvatus;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4
Centropogon ferrugineus;1;0;0;2;5;0;0;0;9;0;0;1;1;0;7
Columnea dimidiata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Columnea sp. 3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Columnea strigosa;1;0;0;0;4;0;3;0;0;0;2;2;1;0;5
Elleanthus aurantiacus;5;9;15;4;0;0;0;0;0;0;0;0;0;18;0
Fuchsia venusta;18;25;0;35;14;3;10;4;0;9;14;4;3;0;0
Gasteranthus calcaratus;1;4;0;3;0;0;0;0;0;0;0;1;0;6;0
Glossoloma baguense;0;0;0;5;14;0;0;2;0;0;0;0;0;0;35
Glossoloma ichthyoderma;15;17;1;11;23;2;5;1;0;1;8;0;2;0;16
Glossoloma schultzei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Guzmania gloriosa;0;4;0;2;7;0;0;5;0;0;0;3;0;6;1
Guzmania multiflora;1;0;0;5;4;0;0;0;0;0;3;0;0;1;1
Heliconia burleana;1;0;0;0;2;0;0;0;8;0;0;0;2;0;4
Heliconia griggsiana;0;0;0;11;0;0;0;0;0;0;0;0;0;0;25
Heliconia sp. 7;0;0;0;3;0;0;0;0;2;0;0;0;0;0;5
Heliconia venusta;0;0;0;7;1;0;0;0;0;1;3;1;0;3;3
Iochroma gesnerioides;0;0;0;1;25;3;14;0;0;0;7;0;3;0;0
Kohleria affinis;11;3;0;24;9;7;0;2;0;5;10;4;0;0;3
Kohleria inaequalis;0;17;0;5;0;0;0;0;0;12;3;0;0;19;0
Kohleria spicata;4;6;14;7;2;4;0;0;0;5;21;0;0;13;0
Kohleria trianae;0;0;0;9;4;0;3;0;0;1;0;1;0;1;1
Kohleria warszewiczii;0;0;0;9;0;1;2;0;0;0;0;0;0;0;0
Macrocarpaea macrophylla;3;15;9;0;0;0;0;0;0;2;11;0;0;7;0
Meriania tomentosa;7;17;1;0;0;0;0;0;0;5;24;0;0;0;0
Mezobromelia capituligera;1;2;0;3;6;0;0;1;0;0;4;1;1;0;2
Palicourea acetosoides;5;35;7;14;2;0;0;0;0;19;3;0;5;22;4
Palicourea angustifolia;1;21;8;5;0;3;0;0;0;9;4;0;0;11;0
Palicourea cuatrecasasii;8;17;4;10;0;19;4;0;0;6;3;0;0;9;3
Palicourea ovalis;14;6;0;0;0;11;4;0;0;0;0;0;3;15;0
Pitcairnia sp. 2;2;4;0;6;1;0;0;0;0;1;1;0;0;0;3
Reldia grandiflora;0;3;0;1;4;0;0;0;0;0;1;0;0;0;2
Salvia scutellarioides;0;6;2;1;0;0;0;0;0;1;1;0;0;3;0
Siphocampylus sp. 2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
Stenostephanus sanguineus;5;11;0;6;0;0;0;0;0;0;0;0;0;0;0
Streptosolen jamesonii;5;17;10;0;0;17;6;0;0;0;25;0;0;0;0
Thibaudia floribunda;3;15;5;0;6;6;0;3;0;2;1;0;0;9;0
Vriesea tequendamae;0;0;0;1;6;0;0;0;0;0;0;2;1;0;2
