;Campylopterus hemileucurus;Doryfera ludovicae;Eugenes spectabilis;Heliodoxa jacula;Lampornis calolaemus;Panterpe insignis;Phaethornis guy;Selasphorus flammula;Selasphorus scintilla
Besleria solanoides;0;0;0;0;4;0;0;0;0
Bomarea hirsuta;0;0;0;0;11;0;0;0;0
Burmeistera parviflora;0;0;0;0;1;0;0;0;0
Cavendishia bracteata;0;7;0;0;76;16;6;1;0
Centropogon solanifolius;0;0;1;0;0;0;0;0;0
Columnea magnifica;1;0;0;1;0;0;1;0;0
Columnea microcalyx;0;0;0;0;0;0;1;0;0
Disterigma humboldtii;0;0;0;0;0;1;0;18;3
Elleanthus aurantiacus;0;0;0;0;1;0;0;4;0
Gaultheria gracilis;0;0;0;0;3;7;0;0;0
Gonocalyx pterocarpus;0;0;0;0;5;0;0;1;0
Heliconia lankesteri;10;0;0;3;3;0;4;0;0
Hoffmannia arborescens;0;0;0;0;3;0;0;0;0
Kohleria tigridia;0;0;0;0;2;0;0;0;0
Macrocarpaea macrophylla;0;0;1;0;4;0;0;5;0
Malvaviscus palmanus;0;0;0;0;0;0;2;0;0
Palicourea lasiorrhachis;0;0;0;0;60;5;0;0;0
Vaccinium poasanum;0;0;0;0;0;9;0;0;0
Vriesea ororiensis;0;0;0;0;5;0;0;0;0
Neomirandea eximia;0;0;0;0;0;0;0;1;0
