;Amazilia fimbriata;Calliphlox amethystina;Chlorostilbon lucidus;Colibri serrirostris;Eupetomena macroura;Heliomaster squamosus;Hylocharis chrysura;Phaethornis pretrei
Ananas ananassoides;37;0;0;0;2;2;0;3
Bowdichia virgilioides;3;0;0;0;0;0;0;0
Camptosema coriaceum;19;0;5;3;1;3;0;0
Caryocar brasiliense;22;0;0;5;22;11;0;0
Cestrum schlechtendahlii;0;0;1;0;0;0;0;0
Costus spiralis;0;0;0;0;3;0;0;32
Eriotheca gracilipes;5;0;0;0;0;0;0;0
Esterhazya splendida;53;0;9;0;28;18;0;0
Gaylussacia brasiliensis;20;0;32;1;0;0;4;2
Palicourea rigida;29;2;10;1;24;24;0;0
Psychotria poeppigiana;54;0;1;0;0;0;0;1
Qualea multiflora;48;4;2;1;6;11;0;0
Qualea parviflora;17;0;2;1;1;27;0;0
Sinningia elatior;10;0;0;0;28;0;1;2
Styrax ferrugineus;18;0;14;1;17;0;0;0
Vochysia cinnamomea;36;0;9;47;8;0;0;0
Vochysia rufa;0;0;0;0;1;0;0;0
