;Amazilia fimbriata;Chlorostilbon lucidus;Colibri serrirostris;Eupetomena macroura;Heliomaster squamosus;Lophornis magnificus;Phaethornis pretrei;Thalurania furcata
Ananas ananassoides;1;0;0;0;0;0;0;0
Bauhinia brevipes;0;0;12;3;0;0;0;0
Bauhinia rufa;0;0;0;0;0;0;0;1
Bauhinia ungulata;2;30;8;31;1;1;5;10
Bowdichia virgilioides;8;7;2;3;0;0;0;6
Camptosema coriaceum;0;0;9;7;0;0;4;0
Canna indica;0;0;0;0;1;0;16;1
Caryocar brasiliense;1;0;5;2;0;0;0;1
Costus spiralis;0;0;0;0;3;0;11;0
Coussarea hydrangeifolia;0;17;0;0;0;0;0;0
Cuphea melvilla;24;19;0;0;0;0;20;23
Dyckia leptostachya;1;0;0;0;0;0;0;0
Dicliptera squarrosa;0;0;0;0;0;0;44;0
Eriotheca gracilipes;0;0;0;0;0;0;0;1
Geissomeria longiflora;0;0;0;0;0;0;77;0
Heliconia psittacorum;3;1;0;1;0;0;16;18
Helicteres brevispira;32;27;1;1;0;2;21;35
Helicteres sacarolha;3;0;13;0;0;0;0;0
Inga vera;0;60;32;65;0;0;19;25
Mandevilla hirsuta;0;1;0;0;0;0;21;0
Manettia cordifolia;0;0;0;0;0;0;79;0
Palicourea marcgravii;0;0;0;0;0;0;0;26
Palicourea rigida;7;2;6;7;0;0;0;2
Prestonia coalita;0;0;0;0;0;0;0;16
Qualea grandiflora;2;0;0;2;0;0;0;5
Qualea multiflora;7;4;5;17;0;1;2;3
Qualea parviflora;11;5;2;0;0;0;0;4
Ruellia brevifolia;0;0;0;0;0;0;53;8
Salvertia convallariodora;1;2;0;2;0;0;0;7
Stachytarpheta gesnerioides;9;0;15;0;0;0;0;0
Styrax ferrugineus;7;15;0;2;0;1;0;3
Vochysia cinnamomea;1;0;0;0;0;0;0;0
Vochysia rufa;2;0;0;0;0;0;0;0
Vochysia tucanorum;0;11;29;27;0;1;0;5
Zeyheria montana;5;0;0;0;0;0;4;0
