;Archilochus colubris;Calothorax lucifer;Colibri thalassinus;Cynanthus latirostris;Eugenes fulgens;Basilinna leucotis;Lampornis clemenciae;Selasphorus platycercus;Selasphorus rufus
Agave sp.1;0;1;1;1;1;1;1;0;0
Bouvardia ternifolia;1;6;0;1;1;10;1;1;2
Castilleja tenuiflora;1;2;0;1;1;5;0;1;1
Cuphea aequipetala;0;1;0;0;0;0;0;0;0
Cuphea procumbens;0;1;0;0;0;1;0;0;0
Lamourouxia dasyantha;0;1;1;1;0;1;1;1;0
Loeselia mexicana;0;1;0;1;1;1;0;1;1
Nicotiana glauca;0;1;1;1;1;1;1;1;0
Oenothera sp. 1;0;0;0;0;0;1;0;1;0
Cylindropuntia imbricata;0;1;1;0;1;1;1;1;1
Opuntia sp.3;0;1;0;0;0;0;0;1;0
Opuntia sp.4;0;1;0;0;0;0;0;1;0
Penstemon barbatus;1;1;0;1;1;1;1;1;0
Salvia circinnata;1;0;0;0;0;1;0;1;1
Salvia chamaedryoides;0;1;0;0;0;1;0;0;1
Salvia microphylla;1;1;0;0;0;1;0;1;1
Salvia polystachya;0;0;0;0;0;1;0;0;0
Salvia prunelloides;0;1;0;0;0;2;0;0;0
Salvia sp.2;0;0;0;1;1;1;1;0;0
Salvia sp.3;0;1;0;0;0;1;0;0;0
Scutellaria caerulea;0;1;0;0;0;1;0;0;0
Silene laciniata;0;1;0;0;0;0;0;0;0
Stachys coccinea;0;1;0;0;0;1;0;0;0
