;Amazilia fimbriata;Anthracothorax nigricollis;Chlorostilbon lucidus;Eupetomena macroura;Heliomaster squamosus;Hylocharis chrysura;Thalurania furcata
Bauhinia ungulata;0;0;5;2;0;15;0
Tabebuia aurea;0;0;3;4;5;0;0
Ananas ananassoides;0;0;109;0;0;222;0
Bromelia karatas;0;0;0;0;0;5;0
Camptosema ellipticum;0;0;3;0;0;0;0
Serjania ovalifolia;0;0;165;0;0;0;0
Bromelia balansae;0;2;865;1;0;1200;154
Vochysia cinnamomea;35;3007;20;744;0;1754;0
Simarouba versicolor;0;0;2800;0;0;5000;0
Styrax ferrugineus;0;0;426;0;0;360;0
Dyckia leptostachya;0;0;0;0;0;13;0
Qualea parviflora;0;0;0;0;0;30;0
Luehea paniculata;0;0;5;0;0;0;0
Verbena hirta;0;0;5;0;0;30;0
Eriotheca pubescens;0;0;0;12;0;154;0
