;Amazilia rutila;Archilochus colubris;Chlorostilbon auriceps;Cynanthus latirostris;Heliomaster constantii
Bignonia binata;105;0;0;0;0
Ceiba aesculifolia;169;0;0;25;107
Combretum farinosum;687;0;134;230;0
Cordia seleriana;55;0;130;0;0
Erythrina lanata;0;0;0;0;5
Hamelia rostrata;1056;0;592;324;41
Ipomoea bracteata;525;12;0;124;34
Ipomoea quamoclit;2;0;2;1;0
Justicia candicans;14;0;0;32;0
Mirabilis sp.1;0;0;0;627;0
Opuntia excelsa;371;0;2;0;46
Opuntia karwinskiana;57;0;0;0;321
Tillandsia bartramii;119;0;0;0;0
Tillandsia dasyliriifolia;85;0;0;0;0
Tillandsia paucifolia;90;0;0;8;1
