;Amazilia lactea;Chlorostilbon lucidus;Chrysolampis mosquitus;Colibri serrirostris;Eupetomena macroura;Anopetia gounellei;Phaethornis pretrei
Alstroemeria rupestris;0;0;0;0;0;0;88
Anisacanthus brasiliensis;210;218;0;0;0;10;127
Augusta longifolia;0;0;0;0;0;0;27
Bauhinia longifolia;0;20;0;0;0;0;22
Bignoniaceae sp.2;90;0;114;0;0;3;0
Centropogon cornutus;0;0;0;0;0;0;110
Chaetocalyx subulatus;0;18;0;0;0;0;0
Cordia superba;2;2;0;0;0;0;7
Cuspidaria simplicifolia;26;11;20;7;2;21;10
Dasyphyllum candolleanum;0;4;0;0;0;0;0
Fridericia erubescens;6;0;1;0;0;6;4
Helicteres eichleri;4;3;9;0;0;0;3
Helicteres velutina;63;167;21;2;0;14;56
Hyptis leptostachys;13;124;0;0;0;0;0
Jacquemontia sp.1;19;0;0;0;0;0;0
Jacquemontia sp.2;4;1;0;0;0;0;0
Lafoensia glyptocarpa;0;11;0;0;0;0;0
Lantana camara;0;7;0;0;0;0;0
Mandevilla scabra;0;0;0;0;0;0;6
Orthophytum lemei;0;51;0;0;0;0;11
Passiflora edmundoi;0;2;0;0;0;0;19
Pavonia sp.1;191;10;1;0;0;76;21
Periandra coccinea;0;11;0;0;0;0;20
Prestonia coalita;87;66;3;0;0;1;0
Pyrostegia venusta;3;0;1;0;12;4;20
Ruellia sp.2;0;10;30;0;0;0;83
Serjania coradinii;0;64;0;0;0;4;3
Stachytarpheta quadrangula;0;2;0;0;0;0;0
