;Clytolaema rubricauda;Leucochloris albicollis;Phaethornis eurynome;Phaethornis squalidus;Thalurania glaucopis
Abutilon bedfordianum;3;0;2;0;19
Aechmea nudicaulis;5;0;7;2;24
Aechmea van-houtteana;3;0;37;11;112
Billbergia distachya;0;0;12;5;2
Billbergia vittata;8;0;18;1;0
Bomarea edulis;0;0;9;13;3
Fuchsia regia;0;0;1;3;1
Hippeastrum aulicum;0;0;20;8;11
Justicia sebastianopolitanae;0;0;16;0;0
Manettia mitis;0;0;5;26;5
Mendoncia sp.1;0;18;4;0;21
Nematanthus crassifolius;0;0;4;0;0
Nematanthus fornix;0;0;4;1;11
Nematanthus lanceolatus;0;0;6;13;0
Nidularium itatiaiae;0;0;3;0;0
Odontonema barleriodes;0;0;3;8;0
Palicourea rudgeoides;0;0;6;0;1
Pitcairnia flammea;0;0;13;1;6
Psittacanthus flavo-viridis;2;0;0;0;4
Pyrostegia venusta;0;1;10;4;1
Quesnelia augusto-coburgii;0;0;35;0;0
Salvia sellowiana;0;0;15;2;0
Sinningia cooperi;0;0;16;4;6
Sinningia gigantifolia;0;0;5;2;0
Siphocampylus longipedunculatus;0;0;1;0;0
Staurogyne itatiaiae;0;0;2;5;0
Stromanthe thalia;2;0;2;2;0
Tillandsia gardneri;0;0;0;1;1
Vellosiella dracocephaloides;0;0;11;0;0
Vriesea carinata;0;0;9;0;1
Vriesea longicaulis;0;0;12;0;12
Vriesea sp.2;3;0;0;0;0
