;Amazilia leucogaster;Aphantochroa cirrochloris;Chlorestes notata;Chrysolampis mosquitus;Eupetomena macroura;Glaucis dohrnii;Glaucis hirsutus;Heliothryx auritus;Hylocharis cyanus;Phaethornis malaris;Phaethornis pretrei;Phaethornis ruber;Thalurania glaucopis
Aechmea miniata;0;0;0;0;0;0;0;0;0;0;0;92;18
Aechmea viridostigma;0;0;0;0;0;0;0;0;0;0;0;64;11
Calathea crocata;0;0;0;0;0;0;0;0;8;0;1;82;42
Centropogon cornutus;0;8;0;0;0;2;61;0;0;0;14;0;0
Costus spiralis;0;0;0;0;0;0;38;0;0;0;2;4;0
Geissomeria macrophylla;0;0;0;0;0;0;0;0;0;0;0;98;0
Gurania acuminata;0;0;270;0;0;0;0;0;0;0;0;301;28
Heliconia richardiana;339;78;0;8;5;0;114;0;0;0;4;156;0
Hohenbergia capitata;0;0;0;0;0;0;0;0;0;0;0;7;0
Lymania brachycaulis;0;0;0;0;0;0;0;0;0;0;0;21;0
Nematanthus corticola;0;0;0;0;0;0;0;0;0;2;3;4;0
Pseuderanthemum sp.1;0;0;0;0;0;0;0;0;0;4;0;0;0
Ruellia affinis;0;0;0;0;0;0;0;0;0;0;2;0;0
Vriesea carinata;0;0;0;0;0;0;0;0;0;0;0;32;0
Vriesea ensiformis;0;0;0;0;0;0;0;0;0;0;6;2;0
Vriesea procera;23;385;0;8;34;0;6;3;0;0;10;38;28
