;Chaetocercus mulsant;Coeligena iris;Colibri coruscans;Ensifera ensifera;Eriocnemis luciani;Heliangelus viola;Lafresnaya lafresnayi;Lesbia victoriae;Metallura baroni;Metallura tyrianthina;Pterophanes cyanopterus;Ramphomicron microrhynchum
Barnadesia arborea;0;4;0;0;255;0;2;1;3;68;42;0
Berberis lutea;0;0;0;0;0;0;0;0;0;9;0;3
Bomarea multiflora;0;0;0;0;1;0;0;0;0;0;0;0
Bomarea glaucescens;0;1;0;0;0;0;0;0;0;0;0;0
Brachyotum sp.1;0;0;0;0;11;0;0;0;2;27;0;0
Bromelia sp.2;0;2;0;0;1;0;0;0;0;0;0;0
Brugmansia sanguinea;0;0;0;2;0;0;0;0;0;0;0;0
Fuchsia vulcanica;0;6;1;0;4;0;0;0;0;22;4;0
Macleania rupestris;0;0;12;0;0;0;0;0;0;0;0;0
Mutisia lehmannii;0;3;0;0;1;0;0;0;0;0;1;0
Oreocallis grandiflora;0;1;0;0;16;4;0;0;0;3;0;0
Passiflora sp.1;0;1;0;2;0;0;0;0;0;0;0;0
Rubus floribundus;0;0;0;0;0;0;0;0;0;1;0;0
Salvia corrugata;0;0;10;0;19;3;3;0;2;47;0;0
Salvia hirta;0;1;0;0;60;0;48;0;1;34;3;0
Saracha quitensis;3;0;0;0;3;0;0;0;3;16;0;0
Tillandsia complanata;0;0;2;0;0;0;0;0;0;2;0;0
Verbesina latisquama;0;0;0;0;0;0;0;0;0;0;0;21
Viola arguta;0;0;0;0;0;0;0;0;0;15;0;0
