;Amazilia saucerottei;Amazilia tzacatl;Anthracothorax nigricollis;Chalybura buffoni;Florisuga mellivora;Glaucis hirsutus;Heliomaster longirostris;Phaethornis guy;Phaethornis striigularis;Thalurania colombica
Calathea lutea;0;0;0;0;0;8;0;4;10;0
Columnea sp. 4;0;0;0;0;0;0;0;1;0;0
Costus pulverulentus;0;0;0;0;0;3;0;5;0;2
Dimerocostus strobilaceus;0;0;0;1;0;0;0;1;5;0
Erythrina poeppigiana;27;0;40;2;10;0;109;0;0;0
Hedychium coronarium;0;5;0;3;4;0;0;0;0;2
Heliconia episcopalis;0;0;0;0;0;0;0;20;11;0
Heliconia griggsiana;0;3;0;0;5;12;0;26;3;0
Heliconia latispatha;0;39;0;7;8;13;0;25;7;20
Heliconia mutisiana;0;0;0;0;0;0;0;9;0;0
Heliconia stricta;0;0;0;1;1;2;0;18;2;0
Inga sapindoides;0;13;0;0;14;0;0;0;0;0
Palicourea acetosoides;0;14;0;0;12;0;0;0;21;6
Palicourea angustifolia;9;7;9;2;22;0;0;5;9;9
Renealmia cernua;0;11;0;0;25;0;0;11;75;4
Stromanthe jacquinii;0;2;0;0;0;10;0;7;35;0
Tillandsia sp. 3;0;0;0;6;0;0;0;10;0;0
