;Coeligena iris;Colibri coruscans;Ensifera ensifera;Eriocnemis luciani;Heliangelus viola;Lafresnaya lafresnayi;Metallura tyrianthina;Pterophanes cyanopterus
Columnea peruviana;6;0;0;0;0;0;2;2
Barnadesia arborea;0;0;0;1;0;0;2;0
Bomarea glaucescens;0;0;0;0;0;0;1;0
Bromelia sp.2;2;0;0;0;0;0;0;0
Brugmansia sanguinea;0;0;1;0;0;0;0;0
Cavendishia bracteata;0;0;0;1;8;1;5;0
Centropogon sp.1;6;0;0;3;0;21;2;0
Fuchsia vulcanica;11;0;0;1;0;2;0;0
Macleania rupestris;4;11;0;3;0;6;8;3
Miconia denticulata;0;0;0;0;0;0;4;0
Mutisia lehmannii;6;0;0;0;0;0;1;2
Myrcianthes sp.1;0;0;0;0;0;0;9;0
Oreocallis grandiflora;3;1;0;5;10;0;18;1
Palicourea sp.4;1;0;0;0;0;0;39;0
Salvia corrugata;0;3;0;3;0;5;21;0
Salvia hirta;2;0;0;4;0;18;14;2
Saracha quitensis;0;0;0;0;0;0;2;0
Tillandsia complanata;0;0;0;0;0;0;1;0
Vallea stipularis;0;0;0;0;0;0;2;0
Viola arguta;1;0;0;0;0;0;43;0
