;Glaucis hirsutus;Threnetes leucurus;Phaethornis superciliosus;Phaethornis hispidus;Phaethornis bourcieri;Phaethornis ruber;Campylopterus largipennis;Florisuga mellivora;Anthracothorax nigricollis;Chlorestes notata;Chlorostilbon mellisugus;Thalurania furcata;Chrysuronia oenone;Amazilia fimbriata;Heliodoxa aurescens
Aechmea contracta;6;0;3;22;0;1;1;0;0;0;0;0;0;0;0
Calathea capitata;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Combretum llewelynii;0;0;0;0;0;0;0;17;0;0;0;12;0;0;0
Costus scaber;5;2;10;21;0;0;0;0;1;0;0;0;4;19;0
Costus spiralis;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
Cuphea melvilla;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Erythrina fusca;0;0;0;0;0;0;0;63;30;7;0;7;1;43;0
Genipa americana;0;0;0;0;0;0;0;6;3;0;0;0;1;136;0
Gurania rhizantha;1;0;13;0;20;0;0;0;0;0;0;46;0;0;0
Gurania lobata;2;0;0;1;0;0;0;0;0;0;2;0;3;54;0
Heliconia juruana;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
Heliconia schumanniana;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Heliconia stricta;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0
Inga leiocalycina;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Palicourea lasiantha;1;0;19;0;0;0;0;0;0;0;0;5;0;0;0
Palicourea crocea;58;0;1;0;0;2;20;0;0;0;12;9;11;57;0
Palicourea sp.2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Palicourea fastigiata;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0
Passiflora involucrata;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0
Passiflora quadriglandulosa;0;3;0;0;0;0;0;0;0;0;0;0;0;10;0
Passiflora spinosa;1;0;14;0;17;0;0;0;0;0;0;0;0;0;0
Psittacanthus cucullaris;0;0;0;0;0;0;0;0;0;0;0;0;2;109;0
Quararibea lasiocalyx;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5
Rauvolfia sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sanchezia munita;5;3;2;2;0;0;0;0;0;0;0;0;0;0;0
Sanchezia putumayensis;0;0;2;11;0;0;0;0;0;0;0;0;0;18;0
Aechmea williamsii;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Syzygium malaccense;0;0;0;0;0;0;0;35;21;5;0;0;4;99;0
Tachigali paniculata;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0
Gesneriaceae sp.4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
