;Aglaeactis cupripennis;Coeligena iris;Colibri coruscans;Eriocnemis luciani;Heliangelus viola;Lafresnaya lafresnayi;Lesbia nuna;Metallura tyrianthina;Pterophanes cyanopterus
Barnadesia arborea;8;3;0;11;0;0;0;9;0
Berberis lutea;3;0;0;0;0;0;0;20;0
Brachyotum sp.1;4;3;0;5;0;0;0;82;0
Bromelia sp.2;0;5;0;1;0;0;0;0;0
Bromelia sp.3;0;1;0;2;0;0;0;2;0
Chuquiraga jussieui;1;0;0;0;0;0;0;2;0
Fuchsia vulcanica;0;10;0;0;0;0;0;5;0
Gaultheria erecta;1;0;0;0;0;0;0;11;0
Gaultheria tomentosa;1;0;0;1;3;0;0;33;0
Macleania rupestris;0;2;3;7;0;0;0;5;0
Oreocallis grandiflora;203;13;0;37;0;0;1;31;2
Rubus floribundus;7;0;0;0;0;0;0;3;0
Salvia corrugata;0;0;0;2;0;0;0;17;0
Saracha quitensis;0;0;0;2;0;0;0;4;0
Tillandsia complanata;0;3;0;0;0;0;0;1;0
Tristerix longebracteatus;3;0;0;5;0;2;0;3;0
Valeriana sp.1;0;0;0;0;0;0;0;1;0
Vallea stipularis;2;0;0;0;0;0;0;1;0
Viola arguta;0;0;0;1;0;0;0;8;0
