;Amazilia fimbriata;Calliphlox amethystina;Chlorostilbon lucidus;Chrysolampis mosquitus;Colibri serrirostris;Eupetomena macroura;Heliactin bilophus;Lophornis magnificus;Thalurania furcata
Adenocalymma campicola;2;0;2;0;0;1;0;0;2
Bowdichia virgilioides;6;0;20;0;1;1;0;0;2
Camptosema coriaceum;0;0;2;0;1;0;1;0;0
Caryocar brasiliense;0;0;0;0;1;0;0;0;1
Palicourea coriacea;2;0;0;0;0;0;0;0;0
Palicourea rigida;2;2;1;8;8;8;2;5;2
Qualea grandiflora;1;0;0;0;0;0;0;0;0
Qualea multiflora;0;0;0;0;0;2;0;0;0
Qualea parviflora;0;0;0;0;1;0;0;0;0
Salvertia convallariodora;0;0;0;0;0;1;0;0;1
Styrax ferrugineus;2;1;9;0;0;0;0;0;0
Tabebuia aurea;0;0;0;0;0;1;0;0;0
