;Colibri cyanotus;Eugenes spectabilis;Lampornis cinereicauda;Panterpe insignis;Selasphorus flammula
Alloplectus sp.2;0;0;0;1;0
Compositae sp.1;0;0;0;0;1
Bomarea costaricensis;0;4;0;0;2
Bromeliaceae sp.1;0;0;2;3;0
Castilleja irasuensis;0;0;0;0;10
Cavendishia bracteata;0;0;1;5;0
Cavendishia sp. 2;0;0;3;3;0
Centropogon costaricae;12;0;0;0;0
Centropogon talamancensis;0;4;0;0;0
Centropogon valerii;2;0;0;1;0
Cestrum sp.2;0;0;2;7;0
Cirsium subcoriaceum;0;3;0;0;0
Columnea sp. 2;0;0;2;3;0
Ericaceae sp.2;0;0;2;1;0
Fuchsia microphylla;0;0;0;0;3
Fuchsia splendens;0;7;0;0;0
Gaultheria sp.1;0;0;0;0;6
Gesneriaceae sp.5;4;0;0;0;0
Macleania rupestris;0;0;0;4;0
Miconia sp.2;0;0;0;1;3
Monnina sp.1;0;0;0;0;5
Phytolacca rivinoides;0;0;0;0;1
Salvia carnea;0;0;0;0;8
Vaccinium consanguineum;0;0;0;1;4
Vriesea ororiensis;0;0;1;13;2
