;Adelomyia melanogenys;Aglaiocercus coelestis;Aglaiocercus kingii;Boissonneaua flavescens;Calliphlox mitchellii;Coeligena torquata;Coeligena wilsoni;Doryfera ludovicae;Ensifera ensifera;Eriocnemis mirabilis;Haplophaedia aureliae;Heliangelus exortis;Metallura tyrianthina;Ocreatus underwoodii
Besleria quadrangulata;1;8;0;3;0;0;1;0;0;1;6;2;6;1
Palicourea sp. 7;0;0;0;1;0;0;0;0;0;0;2;0;0;0
Palicourea sp. 8;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Palicourea killipii;0;0;0;1;0;1;0;0;0;0;4;0;0;0
Cavendishia bracteata;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Disterigma noyesiae;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Clusia coremandra;0;2;0;0;0;1;0;0;0;1;3;0;3;0
Psammisia sp. 3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Pitcairnia lehmannii;0;1;1;2;0;1;1;1;1;0;1;0;0;0
Antopterus oliganthus;0;0;0;0;0;0;0;0;0;2;0;0;1;0
Palicourea sp. 6;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Clusia sp. 2;0;1;0;3;2;7;0;0;0;1;3;4;0;0
Psammisia dolichopoda;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Tillandsia delicatula;0;1;0;0;0;0;0;0;0;0;1;0;2;0
Palicourea cuatrecasasii;0;1;0;0;0;1;2;1;0;0;4;0;0;0
Vismia sp. 1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Miconia sp. 3;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Gasteranthus pansamalanus;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Themistoclesia dependens;0;0;0;0;0;0;0;0;0;0;0;1;0;0
