;Amazilia fimbriata;Amazilia versicolor;Amazilia lactea;Aphantochroa cirrochloris;Anthracothorax nigricollis;Chlorostilbon lucidus;Colibri serrirostris;Calliphlox amethystina;Eupetomena macroura;Florisuga fusca;Hylocharis chrysura;Heliomaster squamosus;Leucochloris albicollis;Phaethornis pretrei;Polytmus guainumbi;Thalurania glaucopis
Amphilophium elongatum;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bauhinia brevipes;60;27;0;4;0;27;0;0;18;23;0;0;2;26;0;26
Bauhinia rufa;77;0;0;0;0;11;0;0;19;9;2;0;3;38;0;5
Billbergia porteana;4;2;0;0;0;0;0;0;0;0;0;0;0;7;0;0
Bromelia balansae;8;0;0;0;0;3;0;0;0;0;2;0;0;8;0;0
Caryocar brasiliense;35;0;0;0;0;11;0;0;23;26;6;1;0;21;0;13
Casearia sylvestris;11;9;0;0;0;8;0;0;0;0;0;0;0;0;0;0
Cuphea melvilla;17;3;0;0;6;22;11;0;0;3;3;1;0;0;2;0
Fridericia craterophora;67;26;0;0;0;61;0;0;0;0;7;0;0;17;0;0
Helicteres brevispira;4;0;0;0;0;0;0;0;0;0;1;0;0;23;0;0
Heliconia psittacorum;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Inga uruguensis;48;16;0;0;0;24;0;0;5;18;14;0;0;17;0;13
Jacaranda caroba;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Lantana camara;17;28;0;0;0;22;0;2;0;0;4;0;0;0;0;3
Luehea grandiflora;6;0;0;0;0;0;0;0;21;0;0;0;0;8;0;0
Manettia cordifolia;3;12;0;0;0;4;0;0;0;0;18;0;0;38;0;0
Mabea fistulifera;51;35;0;0;0;5;0;4;7;72;1;0;13;0;0;72
Palicourea crocea;29;53;6;0;0;31;0;0;0;0;0;0;0;23;3;29
Pyrostegia venusta;0;0;0;0;0;0;0;0;3;3;1;0;0;11;0;0
Qualea multiflora;47;13;2;0;0;18;0;0;3;0;6;0;0;0;0;0
Serjania lethalis;22;25;0;1;0;11;0;0;1;1;4;0;1;10;0;1
Styrax camporum;9;4;0;0;0;42;0;19;0;0;0;0;0;0;0;4
Vochysia tucanorum;34;29;0;0;0;34;0;0;24;0;0;0;0;0;0;0
