;Chlorostilbon poortmani;Coeligena helianthea;Ensifera ensifera;Eriocnemis cupreoventris;Eriocnemis vestita;Heliangelus clarisse;Lafresnaya lafresnayi;Lesbia nuna;Metallura tyrianthina
Castilleja fissifolia;0;0;0;0;0;0;18;0;0
Cavendishia bracteata;1;16;0;13;11;5;1;4;3
Cinchona pitayensis;0;0;0;0;0;0;0;0;1
Cuphea dipetala;1;0;0;1;0;0;1;7;1
Manettia coccocypseloides;0;0;0;0;0;0;0;0;7
Palicourea angustifolia;1;5;0;12;6;21;27;3;69
Palicourea anacardiifolia;0;1;0;0;0;0;0;0;1
Passiflora mixta;0;0;10;0;0;0;0;0;0
Columnea strigosa;0;0;0;0;0;0;8;0;0
Palicourea aschersonianoides;0;0;0;0;0;0;0;0;6
Rubus sp.1;0;3;0;0;0;0;0;6;16
Siphocampylus bogotensis;0;0;0;0;0;0;7;0;0
Symbolanthus tricolor;0;6;0;0;0;0;5;0;0
