;Phaethornis bourcieri;Phaethornis malaris;Phaethornis ruber;Amazilia versicolor;Thalurania furcata;Chlorostilbon olivaresi;Topaza pyra;Florisuga mellivora
Aphelandra macrostachya;30;22;0;0;0;0;0;0
Justicia cuatrecasasii;3;0;0;0;0;0;0;0
Tabernaemontana macrocalyx;13;0;0;0;0;0;0;0
Aechmea chantinii;13;0;1;0;0;38;0;0
Aechmea contracta;23;0;1;0;0;0;0;0
Aechmea corymbosa;10;0;0;0;0;0;0;0
Aechmea rubiginosa;3;0;0;0;0;0;0;0
Billbergia decora;16;9;0;0;0;0;0;0
Bromelia sp.1;3;2;0;0;0;0;0;0
Pitcairnia sprucei;8;12;0;0;0;0;0;0
Vriesea chrysostachys;6;0;0;0;0;2;0;0
Symphonia globulifera;5;0;0;0;12;0;0;0
Costus scaber;7;0;0;0;0;0;0;0
Gurania rufipila;3;0;0;0;0;0;0;0
Satyria panurensis;11;0;0;0;7;9;0;0
Ryania pyrifera;7;0;0;0;9;0;0;0
Tachia occidentalis;23;11;0;0;0;0;0;0
Nematanthus savannarum;19;3;0;0;0;0;0;0
Columnea ericae;5;0;0;0;1;0;0;0
Drymonia semicordata;28;1;0;0;0;0;0;0
Heliconia acuminata;9;20;0;0;0;0;0;0
Psittacanthus lasianthus;10;0;0;0;0;1;0;0
Calathea zingiberina;3;0;0;0;0;0;0;0
Monotagma secundum;32;0;1;0;8;0;0;0
Ischnosiphon lasiocoleus;2;0;17;0;0;0;0;0
Zygia lathetica;3;2;0;0;3;0;0;0
Passiflora vitifolia;9;16;0;0;0;0;0;0
Passiflora skiantha;2;1;0;0;2;0;0;0
Ferdinandusa sprucei;1;0;0;0;0;2;0;0
Isertia hypoleuca;5;41;0;0;4;0;1;1
Isertia rosea;0;4;0;0;2;0;0;0
Palicourea subspicata;3;0;0;0;0;0;0;0
Palicourea nigricans;17;0;0;0;0;0;0;0
Palicourea quadrifolia;1;0;1;0;12;0;0;0
Psychotria bahiensis;9;0;2;0;3;0;0;0
Psychotria platypoda;0;0;0;0;14;0;0;0
Psychotria poeppigiana;12;0;0;0;0;0;0;0
Retiniphyllum speciosum;29;0;0;0;40;5;0;0
Decagonocarpus cornutus;0;0;0;0;0;102;0;0
Markea coccinea;13;0;0;0;2;0;0;0
Amasonia campestris;4;0;0;1;0;0;0;0
Paypayrola hulkiana;33;1;3;0;4;0;0;0
Renealmia sp.2;0;0;1;0;0;0;0;0
