;Heliangelus strophianus;Adelomyia melanogenys;Aglaiocercus coelestis;Coeligena torquata;Coeligena wilsoni;Phaethornis syrmatophorus;Heliodoxa jacula;Doryfera ludovicae;Boissonneaua flavescens;Ocreatus underwoodii;Heliodoxa rubinoides;Colibri coruscans;Urosticte benjamini;Florisuga mellivora;Phaethornis striigularis;Heliodoxa imperatrix;Amazilia franciae;Schistes albogularis;Haplophaedia lugens;Phaethornis yaruqui
Besleria solanoides;1;4;38;0;2;1;0;0;0;37;0;0;2;0;0;0;0;0;0;0
Bomarea multiflora;3;20;5;38;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bomarea pardina;0;0;0;9;22;4;1;0;0;0;6;0;0;0;0;0;0;0;0;0
Burmeistera multiflora;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calathea ischnosiphonoides;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centropogon preslii;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centropogon solanifolius;0;1;21;1;2;84;4;0;0;0;1;0;0;0;0;0;0;0;0;0
Columnea ciliata;0;0;4;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Columnea mastersonii;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Columnea medicinalis;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Columnea picta;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Columnea strigosa;0;1;16;0;13;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drymonia brochidodroma;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drymonia collegarum;0;0;2;0;14;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Drymonia tenuis;10;7;14;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Drymonia teuscheri;0;1;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erythrina megistophylla;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fuchsia macrostigma;0;1;13;2;6;21;0;0;0;0;1;0;0;0;0;0;0;3;0;0
Gasteranthus lateralis;0;2;4;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gasteranthus pansamalanus;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gasteranthus quitensis;0;3;12;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glossoloma oblongicalyx;4;3;28;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guzmania amplectens;0;0;3;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guzmania jaramilloi;0;0;158;0;35;30;2;0;0;18;0;0;0;0;0;3;1;0;0;0
Guzmania lehmanniana;0;0;0;0;9;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
Guzmania squarrosa;4;11;18;5;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Heliconia burleana;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Heliconia impudica;0;0;12;1;13;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Kohleria affinis;1;0;11;5;9;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Kohleria villosa;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Macleania bullata;4;0;3;11;6;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0
Macleania stricta;10;9;22;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meriania tomentosa;1;7;3;4;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
Mezobromelia capituligera;3;2;45;2;40;4;1;1;10;0;5;0;0;0;0;0;0;0;0;0
Mikania websteri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Palicourea acetosoides;0;0;47;3;2;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
Palicourea demissa;0;0;0;0;1;0;0;0;0;6;2;3;1;0;0;0;0;0;0;0
Palicourea lineata;15;19;4;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0
Pitcairnia nigra;0;0;2;0;0;79;0;0;0;0;11;0;0;0;0;0;0;0;0;0
Pitcairnia sodiroi;0;0;27;18;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psammisia aberrans;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psammisia ecuadorensis;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psammisia sodiroi;27;8;33;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0
Psammisia ulbrichiana;9;1;10;10;30;0;0;4;0;3;1;0;0;0;0;0;0;2;0;0
Renealmia sessilifolia;4;4;11;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sarcopera anomala;0;0;0;0;0;0;0;0;0;5;0;8;3;1;0;0;0;0;0;0
Sp7;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tillandsia complanata;0;0;4;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0
Zingiberaceae sp.;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
