"";"gateway_node_2718";"gateway_node_2079";"gateway_node_548";"gateway_node_5232";"gateway_node_502";"gateway_node_4367";"gateway_node_3644";"gateway_node_3646";"gateway_node_3185";"gateway_node_2302";"gateway_node_730";"gateway_node_2795";"gateway_node_105";"gateway_node_3673";"gateway_node_3740";"gateway_node_5183";"gateway_node_3916";"gateway_node_2031";"gateway_node_282";"gateway_node_3201";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_1125";"gateway_node_606";"gateway_node_1314";"gateway_node_4590";"gateway_node_4366";"gateway_node_1432";"gateway_node_1427";"gateway_node_456";"gateway_node_1571";"gateway_node_3653"
"gateway_node_2718";1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0
"gateway_node_2079";0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1
"gateway_node_548";0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0
"gateway_node_5232";0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_502";1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0
"gateway_node_4367";1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1
"gateway_node_3644";0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1
"gateway_node_3646";1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1
"gateway_node_3185";0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;1;0;0;1;0;1;1
"gateway_node_2302";0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1
"gateway_node_730";0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0
"gateway_node_2795";1;0;0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1
"gateway_node_105";0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;0;0
"gateway_node_3673";1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1
"gateway_node_3740";0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0
"gateway_node_5183";1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;0
"gateway_node_3916";0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1
"gateway_node_2031";0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0
"gateway_node_282";0;0;0;1;0;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1
"gateway_node_3201";0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
"gateway_node_3890";0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0
"gateway_node_5063";0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0
"gateway_node_1104";1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0
"gateway_node_1125";0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0
"gateway_node_606";1;0;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0
"gateway_node_1314";0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0
"gateway_node_4590";0;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0
"gateway_node_4366";1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;0;1;1;0;0;0;0
"gateway_node_1432";0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_1427";1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1
"gateway_node_456";0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0
"gateway_node_1571";0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1
"gateway_node_3653";0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;1;1
