"";"gateway_node_276";"gateway_node_531";"gateway_node_533";"gateway_node_535";"gateway_node_536";"gateway_node_537";"gateway_node_742";"gateway_node_963";"gateway_node_974";"gateway_node_1461";"gateway_node_1568";"gateway_node_1573";"gateway_node_1582";"gateway_node_1979";"gateway_node_2141";"gateway_node_2367";"gateway_node_2448";"gateway_node_2648";"gateway_node_2681";"gateway_node_3787";"gateway_node_3832";"gateway_node_4134";"gateway_node_4537";"gateway_node_4551";"gateway_node_4784";"gateway_node_4917";"gateway_node_4373";"gateway_node_1200";"gateway_node_1878";"gateway_node_1400";"gateway_node_1739";"gateway_node_1742";"gateway_node_1743";"gateway_node_1747";"gateway_node_1879";"gateway_node_1928";"gateway_node_2089";"gateway_node_3789";"gateway_node_3906";"gateway_node_4764";"gateway_node_3435"
"gateway_node_276";1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0
"gateway_node_531";0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0
"gateway_node_533";0;0;1;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0
"gateway_node_535";1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1
"gateway_node_536";1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;1;1
"gateway_node_537";0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0
"gateway_node_742";1;1;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1
"gateway_node_963";0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0
"gateway_node_974";1;0;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;0
"gateway_node_1461";0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
"gateway_node_1568";0;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"gateway_node_1573";1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0
"gateway_node_1582";0;0;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0
"gateway_node_1979";0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1
"gateway_node_2141";0;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0
"gateway_node_2367";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_2448";1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;1;1;0
"gateway_node_2648";0;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1
"gateway_node_2681";0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0
"gateway_node_3787";1;1;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;1;1
"gateway_node_3832";1;1;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0
"gateway_node_4134";0;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1
"gateway_node_4537";1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0
"gateway_node_4551";1;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"gateway_node_4784";0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0
"gateway_node_4917";0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0
"gateway_node_4373";0;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;1
"gateway_node_1200";0;0;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1
"gateway_node_1878";0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0
"gateway_node_1400";1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0
"gateway_node_1739";1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0
"gateway_node_1742";0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;0
"gateway_node_1743";1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
"gateway_node_1747";1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0
