"";"gateway_node_2423";"gateway_node_3201";"gateway_node_4001";"gateway_node_2718";"gateway_node_3646";"gateway_node_3645";"gateway_node_2079";"gateway_node_4988";"gateway_node_1972";"gateway_node_3499";"gateway_node_3147";"gateway_node_3185";"gateway_node_5232";"gateway_node_807";"gateway_node_502";"gateway_node_2603";"gateway_node_4779";"gateway_node_3673";"gateway_node_2719";"gateway_node_1190";"gateway_node_22";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_356";"gateway_node_4598";"gateway_node_257";"gateway_node_4662";"gateway_node_729";"gateway_node_5183";"gateway_node_3916";"gateway_node_805";"gateway_node_3257";"gateway_node_282";"gateway_node_2078";"gateway_node_5040";"gateway_node_3379";"gateway_node_3890";"gateway_node_5063";"gateway_node_1125";"gateway_node_606";"gateway_node_4590";"gateway_node_4366";"gateway_node_456";"gateway_node_1571";"gateway_node_2769";"gateway_node_2004"
"gateway_node_2423";1;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0
"gateway_node_3201";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0
"gateway_node_4001";0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0
"gateway_node_2718";0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"gateway_node_3646";1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1
"gateway_node_3645";1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1
"gateway_node_2079";0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;0
"gateway_node_4988";0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0
"gateway_node_1972";0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_3499";0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0
"gateway_node_3147";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1
"gateway_node_3185";1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0
"gateway_node_5232";0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0
"gateway_node_807";1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
"gateway_node_502";0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1
"gateway_node_2603";0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0
"gateway_node_4779";0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1
"gateway_node_3673";0;0;1;0;1;0;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0
"gateway_node_2719";0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0
"gateway_node_1190";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1
"gateway_node_22";0;1;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
"gateway_node_2031";1;0;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1
