"";"WOL_node_1535";"WOL_node_6464";"WOL_node_15718";"WOL_node_6361";"WOL_node_11247";"WOL_node_10250";"WOL_node_6418";"WOL_node_6348";"WOL_node_12626";"WOL_node_6958";"WOL_node_6959";"WOL_node_9296";"WOL_node_10560";"WOL_node_1303";"WOL_node_1349";"WOL_node_65";"WOL_node_6101";"WOL_node_10804";"WOL_node_9032";"WOL_node_9033";"WOL_node_3919";"WOL_node_9770";"WOL_node_9471";"WOL_node_7443";"WOL_node_7202";"WOL_node_5586";"WOL_node_5587";"WOL_node_9828";"WOL_node_9029";"WOL_node_7659";"WOL_node_10812";"WOL_node_8055"
"WOL_node_1535";1;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_6464";0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"WOL_node_15718";0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0
"WOL_node_6361";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0
"WOL_node_11247";0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0
"WOL_node_10250";1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0
"WOL_node_6418";0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
"WOL_node_6348";0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1
"WOL_node_12626";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1
"WOL_node_6958";0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6959";1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0
"WOL_node_9296";0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
"WOL_node_10560";0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
"WOL_node_1303";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0
"WOL_node_1349";0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0
"WOL_node_65";0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1
"WOL_node_6101";0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
"WOL_node_10804";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1
"WOL_node_9032";0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_9033";0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1
"WOL_node_3919";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
"WOL_node_9770";0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;0;0
"WOL_node_9471";1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0
"WOL_node_7443";0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0
"WOL_node_7202";1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"WOL_node_5586";0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"WOL_node_5587";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1
"WOL_node_9828";1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_9029";1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1
"WOL_node_7659";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"WOL_node_10812";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
"WOL_node_8055";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1
