"";"gateway_node_2409";"gateway_node_1847";"gateway_node_2606";"gateway_node_823";"gateway_node_3763";"gateway_node_1326";"gateway_node_1381";"gateway_node_2496";"gateway_node_2490";"gateway_node_2314";"gateway_node_3993";"gateway_node_1141";"gateway_node_1988";"gateway_node_3992";"gateway_node_3991";"gateway_node_630";"gateway_node_2494";"gateway_node_1119";"gateway_node_1374";"gateway_node_1150";"gateway_node_5021";"gateway_node_1715";"gateway_node_3014";"gateway_node_4380";"gateway_node_3356";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1233";"gateway_node_1234";"gateway_node_2909";"gateway_node_1692";"gateway_node_1891";"gateway_node_4595";"gateway_node_4763";"gateway_node_1011";"gateway_node_4429";"gateway_node_2983";"gateway_node_465";"gateway_node_4421";"gateway_node_3341";"gateway_node_3003";"gateway_node_3776";"gateway_node_3196"
"gateway_node_2409";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0
"gateway_node_1847";0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_2606";0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_823";0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_3763";0;0;1;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0
"gateway_node_1326";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
"gateway_node_1381";0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0
"gateway_node_2496";0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1
"gateway_node_2490";0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0
"gateway_node_2314";0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
