"";"gateway_node_3186";"gateway_node_5232";"gateway_node_4001";"gateway_node_183";"gateway_node_2235";"gateway_node_1687";"gateway_node_3435";"gateway_node_1978";"gateway_node_501";"gateway_node_2777";"gateway_node_2778";"gateway_node_4831";"gateway_node_3264";"gateway_node_3890";"gateway_node_3117";"gateway_node_1428";"gateway_node_1932";"gateway_node_3793";"gateway_node_984";"gateway_node_4258";"gateway_node_1115";"gateway_node_1050";"gateway_node_1411"
"gateway_node_3186";1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0
"gateway_node_5232";0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0
"gateway_node_4001";0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1
"gateway_node_183";0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0
"gateway_node_2235";0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0
"gateway_node_1687";0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"gateway_node_3435";0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"gateway_node_1978";0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_501";0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_2777";0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0
"gateway_node_2778";1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;1
"gateway_node_4831";0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1
"gateway_node_3264";0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0
"gateway_node_3890";0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0
"gateway_node_3117";0;1;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;1;1
"gateway_node_1428";0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0
"gateway_node_1932";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
"gateway_node_3793";0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0
"gateway_node_984";1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0
"gateway_node_4258";0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1
"gateway_node_1115";1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
"gateway_node_1050";1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0
"gateway_node_1411";0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1
