"";"mangal_node_4805";"mangal_node_4806";"mangal_node_4813";"mangal_node_4804";"mangal_node_4807";"mangal_node_4808";"mangal_node_4585";"mangal_node_4809";"mangal_node_4303";"mangal_node_0090";"mangal_node_0050";"mangal_node_0858";"mangal_node_0256";"mangal_node_0806";"mangal_node_4814";"mangal_node_0660";"mangal_node_0493";"mangal_node_4815";"mangal_node_0467";"mangal_node_0448";"mangal_node_4803";"mangal_node_4810";"mangal_node_4163";"mangal_node_4811";"mangal_node_4812"
"mangal_node_4805";1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"mangal_node_4806";0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
"mangal_node_4813";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"mangal_node_4804";0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_4807";0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"mangal_node_4808";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_4585";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_4809";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_4303";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0090";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0050";1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_0858";0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;1
"mangal_node_0256";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0
"mangal_node_0806";1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_4814";0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"mangal_node_0660";0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0
"mangal_node_0493";0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
"mangal_node_4815";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
"mangal_node_0467";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"mangal_node_0448";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1
"mangal_node_4803";0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"mangal_node_4810";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0
"mangal_node_4163";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_4811";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"mangal_node_4812";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
