"";"gateway_node_583";"gateway_node_3791";"gateway_node_5232";"gateway_node_1151";"gateway_node_3668";"gateway_node_4779";"gateway_node_2449";"gateway_node_2423";"gateway_node_4001";"gateway_node_3435";"gateway_node_1190";"gateway_node_3455";"gateway_node_3614";"gateway_node_3264";"gateway_node_3890";"gateway_node_5066";"gateway_node_4400";"gateway_node_3630";"gateway_node_4314";"gateway_node_2385"
"gateway_node_583";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
"gateway_node_3791";1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
"gateway_node_5232";0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1151";1;1;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
"gateway_node_3668";0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1
"gateway_node_4779";0;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0
"gateway_node_2449";1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1
"gateway_node_2423";0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
"gateway_node_4001";0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0
"gateway_node_3435";0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
"gateway_node_1190";0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0
"gateway_node_3455";0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1
"gateway_node_3614";0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1
"gateway_node_3264";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1
"gateway_node_3890";0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0
"gateway_node_5066";0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1;0
"gateway_node_4400";0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0
"gateway_node_3630";1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0
"gateway_node_4314";0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0
"gateway_node_2385";1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;1
