"";"gateway_node_1972";"gateway_node_5232";"gateway_node_4001";"gateway_node_2229";"gateway_node_3574";"gateway_node_3389";"gateway_node_2987";"gateway_node_610";"gateway_node_3176";"gateway_node_4662";"gateway_node_3645";"gateway_node_3435";"gateway_node_805";"gateway_node_4598";"gateway_node_3648";"gateway_node_4779";"gateway_node_3264";"gateway_node_2423";"gateway_node_3455";"gateway_node_2775";"gateway_node_2031";"gateway_node_2029";"gateway_node_3890";"gateway_node_5063";"gateway_node_5064";"gateway_node_5062";"gateway_node_4364";"gateway_node_1935";"gateway_node_1432";"gateway_node_1541";"gateway_node_4033";"gateway_node_1155";"gateway_node_2789";"gateway_node_981";"gateway_node_2941";"gateway_node_1948";"gateway_node_3653"
"gateway_node_1972";1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0
"gateway_node_5232";1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0
"gateway_node_4001";0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;1;0;1;0
"gateway_node_2229";1;0;1;1;0;1;0;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;1;0;1
"gateway_node_3574";1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0
"gateway_node_3389";0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;1
"gateway_node_2987";1;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1
"gateway_node_610";0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;1
"gateway_node_3176";1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;0
"gateway_node_4662";1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1
"gateway_node_3645";0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;1;0;1;0;0;1;1
"gateway_node_3435";0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;0
"gateway_node_805";1;1;0;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;1
"gateway_node_4598";0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1
"gateway_node_3648";1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1
"gateway_node_4779";1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0
"gateway_node_3264";0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
"gateway_node_2423";1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1
"gateway_node_3455";1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1
"gateway_node_2775";1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1
"gateway_node_2031";0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;0
"gateway_node_2029";0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0
"gateway_node_3890";1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
"gateway_node_5063";0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_5064";1;0;0;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;0;1;1;0;1;1;0
"gateway_node_5062";0;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0
"gateway_node_4364";1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0
"gateway_node_1935";0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;1
"gateway_node_1432";1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1
"gateway_node_1541";1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0
"gateway_node_4033";0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1
"gateway_node_1155";0;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0
"gateway_node_2789";0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1
"gateway_node_981";0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;1;1;1
