"";"gateway_node_3347";"gateway_node_2488";"gateway_node_2942";"gateway_node_5116";"gateway_node_3253";"gateway_node_2487";"gateway_node_966";"gateway_node_931";"gateway_node_956";"gateway_node_2946";"gateway_node_2947";"gateway_node_620";"gateway_node_3089";"gateway_node_5114";"gateway_node_5115";"gateway_node_4386";"gateway_node_3130";"gateway_node_3252";"gateway_node_3345";"gateway_node_4384";"gateway_node_939";"gateway_node_3346";"gateway_node_3814";"gateway_node_5232";"gateway_node_1221";"gateway_node_3891";"gateway_node_1365"
"gateway_node_3347";1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1
"gateway_node_2488";0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0
"gateway_node_2942";0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_5116";0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1
"gateway_node_3253";1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0
"gateway_node_2487";1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1
"gateway_node_966";0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;1
"gateway_node_931";1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0
"gateway_node_956";0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;0;1;0
"gateway_node_2946";1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0
"gateway_node_2947";0;0;0;1;1;0;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0
"gateway_node_620";0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0
"gateway_node_3089";0;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;1;0
"gateway_node_5114";1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0
"gateway_node_5115";0;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0
"gateway_node_4386";1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1
"gateway_node_3130";1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0
"gateway_node_3252";0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1
"gateway_node_3345";1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1
"gateway_node_4384";0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0
"gateway_node_939";0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0
"gateway_node_3346";1;0;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;1
"gateway_node_3814";0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1
"gateway_node_5232";0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1
"gateway_node_1221";1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
"gateway_node_3891";1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0
"gateway_node_1365";0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1
